Extra_feature_col,RMSE Score,MAE Score,Best config
location_ft + link_ft + weather_ft,158.0523049251558,104.57499558528286,"{'input_feature_num': 20, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'nhid': 16, 'levels': 2, 'num_channels': None, 'kernel_size': 3, 'lr': 0.01, 'dropout': 0.2, 'selected_features': ['lat', 'long', '20223', 'GL1', '1255', '1405', '1404', '1403', 'GL2', '1271', '1253', '1401', 'GL3', '1283', '1258', '1256', 'rhum', 'sun', 'vis'], 'batch_size': 128}"
location_ft,160.28653838896759,108.02521429926706,"{'input_feature_num': 3, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'nhid': 16, 'levels': 2, 'num_channels': None, 'kernel_size': 3, 'lr': 0.01, 'dropout': 0.2, 'selected_features': ['lat', 'long'], 'batch_size': 128}"
location_ft + weather_ft,162.67754099308328,107.26163397381838,"{'input_feature_num': 6, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'nhid': 16, 'levels': 2, 'num_channels': None, 'kernel_size': 3, 'lr': 0.01, 'dropout': 0.2, 'selected_features': ['lat', 'long', 'rhum', 'sun', 'vis'], 'batch_size': 128}"
None,166.5347397478172,110.36706775926741,"{'input_feature_num': 1, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'nhid': 16, 'levels': 2, 'num_channels': None, 'kernel_size': 3, 'lr': 0.01, 'dropout': 0.2, 'selected_features': [], 'batch_size': 128}"
link_ft + weather_ft,175.86355587385196,122.15753037045683,"{'input_feature_num': 18, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'nhid': 16, 'levels': 2, 'num_channels': None, 'kernel_size': 3, 'lr': 0.01, 'dropout': 0.2, 'selected_features': ['20223', 'GL1', '1255', '1405', '1404', '1403', 'GL2', '1271', '1253', '1401', 'GL3', '1283', '1258', '1256', 'rhum', 'sun', 'vis'], 'batch_size': 128}"
location_ft + link_ft,176.0669028129826,123.28563281074216,"{'input_feature_num': 17, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'nhid': 16, 'levels': 2, 'num_channels': None, 'kernel_size': 3, 'lr': 0.01, 'dropout': 0.2, 'selected_features': ['lat', 'long', '20223', 'GL1', '1255', '1405', '1404', '1403', 'GL2', '1271', '1253', '1401', 'GL3', '1283', '1258', '1256'], 'batch_size': 128}"
link_ft,178.49424576868614,123.92463540413665,"{'input_feature_num': 15, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'nhid': 16, 'levels': 2, 'num_channels': None, 'kernel_size': 3, 'lr': 0.01, 'dropout': 0.2, 'selected_features': ['20223', 'GL1', '1255', '1405', '1404', '1403', 'GL2', '1271', '1253', '1401', 'GL3', '1283', '1258', '1256'], 'batch_size': 128}"
weather_ft,403.6587326843222,250.36092732690935,"{'input_feature_num': 4, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'nhid': 16, 'levels': 2, 'num_channels': None, 'kernel_size': 3, 'lr': 0.01, 'dropout': 0.2, 'selected_features': ['rhum', 'sun', 'vis'], 'batch_size': 128}"
