Extra_feature_col,RMSE Score,MAPE Score,Best config
None,153.31169352866735,25586.530204160943,"{'hidden_dim': 32, 'layer_num': 1, 'lr': 0.005469983005640252, 'dropout': 0.12999238122462373, 'input_feature_num': 1, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': [], 'batch_size': 256}"
location_ft,138.10022578495352,16503.036996775052,"{'hidden_dim': 32, 'layer_num': 1, 'lr': 0.007961778153586577, 'dropout': 0.19579297480836438, 'input_feature_num': 3, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['lat', 'long'], 'batch_size': 256}"
link_ft,144.06393656320856,82127.58299169035,"{'hidden_dim': 32, 'layer_num': 1, 'lr': 0.006778524754376525, 'dropout': 0.1648486092298329, 'input_feature_num': 15, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['20223', 'GL1', '1255', '1405', '1404', '1403', 'GL2', '1271', '1253', '1401', 'GL3', '1283', '1258', '1256'], 'batch_size': 256}"
weather_ft,153.09116528244908,431311.6453900617,"{'hidden_dim': 32, 'layer_num': 1, 'lr': 0.0069760283844016125, 'dropout': 0.1500362199622628, 'input_feature_num': 4, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['rhum', 'sun', 'vis'], 'batch_size': 256}"
location_ft + link_ft,133.8935676396878,152623.7293631248,"{'hidden_dim': 32, 'layer_num': 1, 'lr': 0.008851315408876771, 'dropout': 0.18124849918529315, 'input_feature_num': 17, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['lat', 'long', '20223', 'GL1', '1255', '1405', '1404', '1403', 'GL2', '1271', '1253', '1401', 'GL3', '1283', '1258', '1256'], 'batch_size': 256}"
location_ft + weather_ft,147.30823913557438,174414.80425717455,"{'hidden_dim': 32, 'layer_num': 1, 'lr': 0.007877877167736785, 'dropout': 0.18213280511634805, 'input_feature_num': 6, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['lat', 'long', 'rhum', 'sun', 'vis'], 'batch_size': 256}"
link_ft + weather_ft,140.51628902538434,186131.92434286367,"{'hidden_dim': 32, 'layer_num': 1, 'lr': 0.0057837069710390465, 'dropout': 0.11690591953415397, 'input_feature_num': 18, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['20223', 'GL1', '1255', '1405', '1404', '1403', 'GL2', '1271', '1253', '1401', 'GL3', '1283', '1258', '1256', 'rhum', 'sun', 'vis'], 'batch_size': 256}"
location_ft + link_ft + weather_ft,134.3228609882965,451930.77752173366,"{'hidden_dim': 32, 'layer_num': 1, 'lr': 0.006290583770508819, 'dropout': 0.18425450413075578, 'input_feature_num': 20, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['lat', 'long', '20223', 'GL1', '1255', '1405', '1404', '1403', 'GL2', '1271', '1253', '1401', 'GL3', '1283', '1258', '1256', 'rhum', 'sun', 'vis'], 'batch_size': 256}"
