Extra_feature_col,RMSE Score,sMAPE Score
location_ft + link_ft + weather_ft,142.7547073202143,0.2267924689186967
location_ft + link_ft,144.74577981449275,0.2519691527316336
link_ft,145.58313953711246,0.2391018902339804
location_ft + weather_ft,150.29516493312195,0.23892596920454492
location_ft,151.26360030121523,0.2490193425263921
weather_ft,153.1862231579576,0.2627342977227675
link_ft + weather_ft,154.6342957381448,0.26234986284108713
None,159.58232423505908,0.269244198354192
