Extra_feature_col,RMSE Score,MAPE Score,Best config
None,160.73950009968434,345797.94714499655,"{'hidden_dim': 32, 'layer_num': 1, 'lr': 0.005182534005792693, 'dropout': 0.18516006697346127, 'input_feature_num': 1, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': [], 'batch_size': 256}"
location_ft,139.50878870268193,208903.47703754075,"{'hidden_dim': 32, 'layer_num': 1, 'lr': 0.009710253165607923, 'dropout': 0.1239492309425915, 'input_feature_num': 3, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['lat', 'long'], 'batch_size': 256}"
link_ft,143.32173038066605,146345.04884847175,"{'hidden_dim': 32, 'layer_num': 1, 'lr': 0.007130257400316887, 'dropout': 0.14344636303864755, 'input_feature_num': 15, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['20223', 'GL1', '1255', '1405', '1404', '1403', 'GL2', '1271', '1253', '1401', 'GL3', '1283', '1258', '1256'], 'batch_size': 256}"
weather_ft,163.69085078004522,373358.8918594754,"{'hidden_dim': 32, 'layer_num': 1, 'lr': 0.005473787598703804, 'dropout': 0.198501609829939, 'input_feature_num': 4, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['rhum', 'sun', 'vis'], 'batch_size': 256}"
location_ft + link_ft,140.63619548344013,114883.3651045912,"{'hidden_dim': 32, 'layer_num': 1, 'lr': 0.006182572830531833, 'dropout': 0.15562765823567792, 'input_feature_num': 17, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['lat', 'long', '20223', 'GL1', '1255', '1405', '1404', '1403', 'GL2', '1271', '1253', '1401', 'GL3', '1283', '1258', '1256'], 'batch_size': 256}"
location_ft + weather_ft,147.58472404931462,532966.895824178,"{'hidden_dim': 32, 'layer_num': 1, 'lr': 0.006795258225307161, 'dropout': 0.13446399360276523, 'input_feature_num': 6, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['lat', 'long', 'rhum', 'sun', 'vis'], 'batch_size': 256}"
link_ft + weather_ft,142.99544516224967,197543.21265564123,"{'hidden_dim': 32, 'layer_num': 1, 'lr': 0.005989954215569646, 'dropout': 0.14385208822017598, 'input_feature_num': 18, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['20223', 'GL1', '1255', '1405', '1404', '1403', 'GL2', '1271', '1253', '1401', 'GL3', '1283', '1258', '1256', 'rhum', 'sun', 'vis'], 'batch_size': 256}"
location_ft + link_ft + weather_ft,134.14651619012906,449180.6081314849,"{'hidden_dim': 32, 'layer_num': 1, 'lr': 0.009029010150351952, 'dropout': 0.15173631123022935, 'input_feature_num': 20, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['lat', 'long', '20223', 'GL1', '1255', '1405', '1404', '1403', 'GL2', '1271', '1253', '1401', 'GL3', '1283', '1258', '1256', 'rhum', 'sun', 'vis'], 'batch_size': 256}"
