Extra_feature_col,RMSE Score,MAE Score,Best config
None,137.09599708554893,92.74043856727502,"{'hidden_dim': 32, 'layer_num': 2, 'lr': 0.00821293874092086, 'dropout': 0.1933355673455555, 'input_feature_num': 1, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': [], 'batch_size': 128}"
location_ft,129.35119756554323,87.37248599120575,"{'hidden_dim': 32, 'layer_num': 2, 'lr': 0.007616873999788642, 'dropout': 0.15996546899524633, 'input_feature_num': 3, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['lat', 'long'], 'batch_size': 128}"
link_ft,130.3963697672325,90.26241711305707,"{'hidden_dim': 32, 'layer_num': 2, 'lr': 0.006285348668594, 'dropout': 0.16785565622037923, 'input_feature_num': 15, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['20223', 'GL1', '1255', '1405', '1404', '1403', 'GL2', '1271', '1253', '1401', 'GL3', '1283', '1258', '1256'], 'batch_size': 128}"
weather_ft,141.21807513618566,94.2726558307893,"{'hidden_dim': 32, 'layer_num': 2, 'lr': 0.006488280486178534, 'dropout': 0.11813571580228979, 'input_feature_num': 4, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['rhum', 'sun', 'vis'], 'batch_size': 128}"
location_ft + link_ft,120.52649014007426,80.33804106711193,"{'hidden_dim': 32, 'layer_num': 2, 'lr': 0.008569399879538786, 'dropout': 0.17620815719963007, 'input_feature_num': 17, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['lat', 'long', '20223', 'GL1', '1255', '1405', '1404', '1403', 'GL2', '1271', '1253', '1401', 'GL3', '1283', '1258', '1256'], 'batch_size': 128}"
location_ft + weather_ft,135.84262131318974,90.68095677638898,"{'hidden_dim': 32, 'layer_num': 2, 'lr': 0.00888867678564719, 'dropout': 0.10720729617119501, 'input_feature_num': 6, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['lat', 'long', 'rhum', 'sun', 'vis'], 'batch_size': 128}"
link_ft + weather_ft,129.68490083661314,90.5432071047547,"{'hidden_dim': 32, 'layer_num': 2, 'lr': 0.007081760175872143, 'dropout': 0.17140681825362608, 'input_feature_num': 18, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['20223', 'GL1', '1255', '1405', '1404', '1403', 'GL2', '1271', '1253', '1401', 'GL3', '1283', '1258', '1256', 'rhum', 'sun', 'vis'], 'batch_size': 128}"
location_ft + link_ft + weather_ft,127.19486334240385,85.28689048897812,"{'hidden_dim': 32, 'layer_num': 2, 'lr': 0.00558287574348067, 'dropout': 0.16592692110914659, 'input_feature_num': 20, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['lat', 'long', '20223', 'GL1', '1255', '1405', '1404', '1403', 'GL2', '1271', '1253', '1401', 'GL3', '1283', '1258', '1256', 'rhum', 'sun', 'vis'], 'batch_size': 128}"
