Extra_feature_col,RMSE Score,MAPE Score,Best config
None,147.88820626595623,20389.11590148292,"{'hidden_dim': 32, 'layer_num': 1, 'lr': 0.005400258691557214, 'dropout': 0.14564819752953326, 'input_feature_num': 1, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': [], 'batch_size': 256}"
time_ft,173.12215102944444,340029.53960831714,"{'hidden_dim': 32, 'layer_num': 1, 'lr': 0.0053376954320431495, 'dropout': 0.13831754403554145, 'input_feature_num': 2, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['weekend'], 'batch_size': 256}"
location_ft,139.46147253884266,153269.38153737143,"{'hidden_dim': 32, 'layer_num': 1, 'lr': 0.0061272265494463005, 'dropout': 0.17734271311257832, 'input_feature_num': 3, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['lat', 'long'], 'batch_size': 256}"
link_ft,139.3783287462478,199109.12171719354,"{'hidden_dim': 32, 'layer_num': 1, 'lr': 0.0051126304453477395, 'dropout': 0.15979968914316792, 'input_feature_num': 15, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['20223', 'GL1', '1255', '1405', '1404', '1403', 'GL2', '1271', '1253', '1401', 'GL3', '1283', '1258', '1256'], 'batch_size': 256}"
weather_ft,140.4593012384555,193627.45033213237,"{'hidden_dim': 32, 'layer_num': 1, 'lr': 0.009722285787491725, 'dropout': 0.10057298641574364, 'input_feature_num': 4, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['rhum', 'sun', 'vis'], 'batch_size': 256}"
time_ft + location_ft,170.07847670244897,145094.29984444153,"{'hidden_dim': 32, 'layer_num': 1, 'lr': 0.006273583335969425, 'dropout': 0.15351661881494816, 'input_feature_num': 4, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['weekend', 'lat', 'long'], 'batch_size': 256}"
time_ft + link_ft,147.01867281953727,319642.05280134163,"{'hidden_dim': 32, 'layer_num': 1, 'lr': 0.009578507096823584, 'dropout': 0.14041530273158515, 'input_feature_num': 16, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['weekend', '20223', 'GL1', '1255', '1405', '1404', '1403', 'GL2', '1271', '1253', '1401', 'GL3', '1283', '1258', '1256'], 'batch_size': 256}"
time_ft + weather_ft,149.5298880573745,191675.91461337323,"{'hidden_dim': 32, 'layer_num': 1, 'lr': 0.008976299067405828, 'dropout': 0.13315030617127313, 'input_feature_num': 5, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['weekend', 'rhum', 'sun', 'vis'], 'batch_size': 256}"
location_ft + link_ft,141.62280696517624,207025.29549850788,"{'hidden_dim': 32, 'layer_num': 1, 'lr': 0.007439846696798243, 'dropout': 0.10777778620421732, 'input_feature_num': 17, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['lat', 'long', '20223', 'GL1', '1255', '1405', '1404', '1403', 'GL2', '1271', '1253', '1401', 'GL3', '1283', '1258', '1256'], 'batch_size': 256}"
location_ft + weather_ft,152.1582068909584,93349.78595187914,"{'hidden_dim': 32, 'layer_num': 1, 'lr': 0.006770999966849284, 'dropout': 0.17929186955923265, 'input_feature_num': 6, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['lat', 'long', 'rhum', 'sun', 'vis'], 'batch_size': 256}"
