Extra_feature_col,RMSE Score,MAPE Score,Best config
None,150.1138109488936,384366.4637085925,"{'hidden_dim': 16, 'layer_num': 2, 'lr': 0.007191446940654406, 'dropout': 0.16665119984792626, 'input_feature_num': 1, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': [], 'batch_size': 256}"
time_ft,150.69445304455832,279657.5169979996,"{'hidden_dim': 32, 'layer_num': 2, 'lr': 0.007014911678782986, 'dropout': 0.15227011035459237, 'input_feature_num': 2, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['weekend'], 'batch_size': 256}"
location_ft,137.6494195184704,434666.3245320597,"{'hidden_dim': 32, 'layer_num': 1, 'lr': 0.006426850738103613, 'dropout': 0.13533754432398787, 'input_feature_num': 3, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['lat', 'long'], 'batch_size': 256}"
link_ft,139.70752649583602,263360.75947371405,"{'hidden_dim': 32, 'layer_num': 2, 'lr': 0.007937805787862465, 'dropout': 0.1844227338376368, 'input_feature_num': 15, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['20223', 'GL1', '1255', '1405', '1404', '1403', 'GL2', '1271', '1253', '1401', 'GL3', '1283', '1258', '1256'], 'batch_size': 256}"
weather_ft,150.94567033447436,545623.1953141055,"{'hidden_dim': 32, 'layer_num': 2, 'lr': 0.0060906688807526544, 'dropout': 0.1766505040260834, 'input_feature_num': 4, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['rhum', 'sun', 'vis'], 'batch_size': 256}"
time_ft + location_ft,142.09729201197266,297639.9022701695,"{'hidden_dim': 32, 'layer_num': 2, 'lr': 0.009605072558497286, 'dropout': 0.1443286531230489, 'input_feature_num': 4, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['weekend', 'lat', 'long'], 'batch_size': 256}"
time_ft + link_ft,138.5991149017733,256015.40655199467,"{'hidden_dim': 32, 'layer_num': 2, 'lr': 0.008166288028919645, 'dropout': 0.15920242772364002, 'input_feature_num': 16, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['weekend', '20223', 'GL1', '1255', '1405', '1404', '1403', 'GL2', '1271', '1253', '1401', 'GL3', '1283', '1258', '1256'], 'batch_size': 256}"
time_ft + weather_ft,143.71995660543564,178740.21548318188,"{'hidden_dim': 32, 'layer_num': 2, 'lr': 0.007596571704525825, 'dropout': 0.15921284594562216, 'input_feature_num': 5, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['weekend', 'rhum', 'sun', 'vis'], 'batch_size': 256}"
location_ft + link_ft,127.21232928267656,644851.5545772829,"{'hidden_dim': 16, 'layer_num': 2, 'lr': 0.008653050686476609, 'dropout': 0.15635604541136403, 'input_feature_num': 17, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['lat', 'long', '20223', 'GL1', '1255', '1405', '1404', '1403', 'GL2', '1271', '1253', '1401', 'GL3', '1283', '1258', '1256'], 'batch_size': 256}"
location_ft + weather_ft,137.52775907155524,126017.78509211936,"{'hidden_dim': 32, 'layer_num': 2, 'lr': 0.006109584942387397, 'dropout': 0.1281319362097217, 'input_feature_num': 6, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['lat', 'long', 'rhum', 'sun', 'vis'], 'batch_size': 256}"
link_ft + weather_ft,125.30390973969126,115215.98171852203,"{'hidden_dim': 32, 'layer_num': 2, 'lr': 0.005498787725456712, 'dropout': 0.15305746253814909, 'input_feature_num': 18, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['20223', 'GL1', '1255', '1405', '1404', '1403', 'GL2', '1271', '1253', '1401', 'GL3', '1283', '1258', '1256', 'rhum', 'sun', 'vis'], 'batch_size': 256}"
time_ft + location_ft + link_ft,161.40643453402924,434542.28443458024,"{'hidden_dim': 32, 'layer_num': 1, 'lr': 0.005568886232444215, 'dropout': 0.11688564564583082, 'input_feature_num': 18, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['weekend', 'lat', 'long', '20223', 'GL1', '1255', '1405', '1404', '1403', 'GL2', '1271', '1253', '1401', 'GL3', '1283', '1258', '1256'], 'batch_size': 256}"
time_ft + location_ft + weather_ft,152.28942125431902,267926.85326464754,"{'hidden_dim': 32, 'layer_num': 2, 'lr': 0.00858909778905355, 'dropout': 0.1342503975282423, 'input_feature_num': 7, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['weekend', 'lat', 'long', 'rhum', 'sun', 'vis'], 'batch_size': 256}"
time_ft + link_ft + weather_ft,151.30778759622956,288202.897934382,"{'hidden_dim': 32, 'layer_num': 1, 'lr': 0.00707038364913439, 'dropout': 0.15130749035374652, 'input_feature_num': 19, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['weekend', '20223', 'GL1', '1255', '1405', '1404', '1403', 'GL2', '1271', '1253', '1401', 'GL3', '1283', '1258', '1256', 'rhum', 'sun', 'vis'], 'batch_size': 256}"
location_ft + link_ft + weather_ft,135.78723891797063,417428.3456106221,"{'hidden_dim': 32, 'layer_num': 2, 'lr': 0.007819000215253027, 'dropout': 0.18262566684750717, 'input_feature_num': 20, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['lat', 'long', '20223', 'GL1', '1255', '1405', '1404', '1403', 'GL2', '1271', '1253', '1401', 'GL3', '1283', '1258', '1256', 'rhum', 'sun', 'vis'], 'batch_size': 256}"
