Extra_feature_col,RMSE Score,MAPE Score,Best config
None,152.84493631109459,544737.9006533757,"{'hidden_dim': 32, 'layer_num': 1, 'lr': 0.008253018899828785, 'dropout': 0.10999091644269714, 'input_feature_num': 1, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': [], 'batch_size': 256}"
time_ft,157.72117101054863,490323.7703791505,"{'hidden_dim': 16, 'layer_num': 1, 'lr': 0.008770830643973142, 'dropout': 0.11126372561791398, 'input_feature_num': 2, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['weekend'], 'batch_size': 256}"
location_ft,144.81341556174607,287776.22484555404,"{'hidden_dim': 32, 'layer_num': 1, 'lr': 0.007407153802068673, 'dropout': 0.1841466311192304, 'input_feature_num': 3, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['lat', 'long'], 'batch_size': 256}"
link_ft,136.0417408910636,667814.2047228061,"{'hidden_dim': 32, 'layer_num': 1, 'lr': 0.00877801693827835, 'dropout': 0.1410969952179182, 'input_feature_num': 15, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['20223', 'GL1', '1255', '1405', '1404', '1403', 'GL2', '1271', '1253', '1401', 'GL3', '1283', '1258', '1256'], 'batch_size': 256}"
weather_ft,150.17427684682448,493499.59100171697,"{'hidden_dim': 32, 'layer_num': 1, 'lr': 0.007657321751208983, 'dropout': 0.17309425257546157, 'input_feature_num': 4, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['rhum', 'sun', 'vis'], 'batch_size': 256}"
time_ft + location_ft,156.6523589887478,439062.7578998141,"{'hidden_dim': 32, 'layer_num': 1, 'lr': 0.005402933230435712, 'dropout': 0.1950702247807852, 'input_feature_num': 4, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['weekend', 'lat', 'long'], 'batch_size': 256}"
time_ft + link_ft,151.4990326328595,569833.6264217683,"{'hidden_dim': 32, 'layer_num': 1, 'lr': 0.009857853102871461, 'dropout': 0.1937203005224555, 'input_feature_num': 16, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['weekend', '20223', 'GL1', '1255', '1405', '1404', '1403', 'GL2', '1271', '1253', '1401', 'GL3', '1283', '1258', '1256'], 'batch_size': 256}"
time_ft + weather_ft,166.90308750698486,616141.9952356225,"{'hidden_dim': 32, 'layer_num': 1, 'lr': 0.007669107970286855, 'dropout': 0.13008033561693452, 'input_feature_num': 5, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['weekend', 'rhum', 'sun', 'vis'], 'batch_size': 256}"
location_ft + link_ft,137.551796639838,739605.1499294782,"{'hidden_dim': 32, 'layer_num': 1, 'lr': 0.006492919494021285, 'dropout': 0.18251087895604465, 'input_feature_num': 17, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['lat', 'long', '20223', 'GL1', '1255', '1405', '1404', '1403', 'GL2', '1271', '1253', '1401', 'GL3', '1283', '1258', '1256'], 'batch_size': 256}"
location_ft + weather_ft,140.69367094684046,296616.55321109714,"{'hidden_dim': 32, 'layer_num': 1, 'lr': 0.00947595608809085, 'dropout': 0.12767456661151108, 'input_feature_num': 6, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['lat', 'long', 'rhum', 'sun', 'vis'], 'batch_size': 256}"
