Extra_feature_col,RMSE Score,MAE Score,Best config
None,132.22603203759837,88.15808704767016,"{'hidden_dim': 32, 'layer_num': 2, 'lr': 0.01, 'dropout': 0.2, 'input_feature_num': 1, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': [], 'batch_size': 128}"
location_ft,119.39782141136187,78.89077477434442,"{'hidden_dim': 32, 'layer_num': 2, 'lr': 0.01, 'dropout': 0.2, 'input_feature_num': 3, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['lat', 'long'], 'batch_size': 128}"
link_ft,117.77218934875704,80.03503495753927,"{'hidden_dim': 32, 'layer_num': 2, 'lr': 0.01, 'dropout': 0.2, 'input_feature_num': 15, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['20223', 'GL1', '1255', '1405', '1404', '1403', 'GL2', '1271', '1253', '1401', 'GL3', '1283', '1258', '1256'], 'batch_size': 128}"
weather_ft,127.39225657956739,87.80990363650258,"{'hidden_dim': 32, 'layer_num': 2, 'lr': 0.01, 'dropout': 0.2, 'input_feature_num': 4, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['rhum', 'sun', 'vis'], 'batch_size': 128}"
location_ft + link_ft,119.35186473909386,82.43918205014401,"{'hidden_dim': 32, 'layer_num': 2, 'lr': 0.01, 'dropout': 0.2, 'input_feature_num': 17, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['lat', 'long', '20223', 'GL1', '1255', '1405', '1404', '1403', 'GL2', '1271', '1253', '1401', 'GL3', '1283', '1258', '1256'], 'batch_size': 128}"
location_ft + weather_ft,123.35614634656328,80.7340972607399,"{'hidden_dim': 32, 'layer_num': 2, 'lr': 0.01, 'dropout': 0.2, 'input_feature_num': 6, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['lat', 'long', 'rhum', 'sun', 'vis'], 'batch_size': 128}"
link_ft + weather_ft,114.65367716086163,76.27618149187454,"{'hidden_dim': 32, 'layer_num': 2, 'lr': 0.01, 'dropout': 0.2, 'input_feature_num': 18, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['20223', 'GL1', '1255', '1405', '1404', '1403', 'GL2', '1271', '1253', '1401', 'GL3', '1283', '1258', '1256', 'rhum', 'sun', 'vis'], 'batch_size': 128}"
location_ft + link_ft + weather_ft,122.38901117296075,82.58447197364693,"{'hidden_dim': 32, 'layer_num': 2, 'lr': 0.01, 'dropout': 0.2, 'input_feature_num': 20, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['lat', 'long', '20223', 'GL1', '1255', '1405', '1404', '1403', 'GL2', '1271', '1253', '1401', 'GL3', '1283', '1258', '1256', 'rhum', 'sun', 'vis'], 'batch_size': 128}"
