Extra_feature_col,RMSE Score,MAPE Score,Best config
None,156.04986002731243,186284.52930022913,"{'hidden_dim': 32, 'layer_num': 1, 'lr': 0.006137382538793972, 'dropout': 0.17173184722191676, 'input_feature_num': 1, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': [], 'batch_size': 256}"
location_ft,142.78919387056115,572600.7245874209,"{'hidden_dim': 32, 'layer_num': 1, 'lr': 0.008630155380501991, 'dropout': 0.12945454203063667, 'input_feature_num': 3, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['lat', 'long'], 'batch_size': 256}"
link_ft,141.22761486246358,228937.34497756045,"{'hidden_dim': 32, 'layer_num': 1, 'lr': 0.007384192114874556, 'dropout': 0.1662522740836674, 'input_feature_num': 15, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['20223', 'GL1', '1255', '1405', '1404', '1403', 'GL2', '1271', '1253', '1401', 'GL3', '1283', '1258', '1256'], 'batch_size': 256}"
weather_ft,144.90232855997013,74152.52059475906,"{'hidden_dim': 32, 'layer_num': 1, 'lr': 0.009366306904223616, 'dropout': 0.19502426765462116, 'input_feature_num': 4, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['rhum', 'sun', 'vis'], 'batch_size': 256}"
location_ft + link_ft,131.38475851256038,349008.85448592866,"{'hidden_dim': 32, 'layer_num': 1, 'lr': 0.006436005694374225, 'dropout': 0.12667713444346862, 'input_feature_num': 17, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['lat', 'long', '20223', 'GL1', '1255', '1405', '1404', '1403', 'GL2', '1271', '1253', '1401', 'GL3', '1283', '1258', '1256'], 'batch_size': 256}"
location_ft + weather_ft,162.72838365462843,145010.6059793633,"{'hidden_dim': 32, 'layer_num': 1, 'lr': 0.007600779386816409, 'dropout': 0.17622975658641, 'input_feature_num': 6, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['lat', 'long', 'rhum', 'sun', 'vis'], 'batch_size': 256}"
link_ft + weather_ft,141.4584844070578,186213.70663051595,"{'hidden_dim': 32, 'layer_num': 1, 'lr': 0.007732681916364406, 'dropout': 0.10391172314488059, 'input_feature_num': 18, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['20223', 'GL1', '1255', '1405', '1404', '1403', 'GL2', '1271', '1253', '1401', 'GL3', '1283', '1258', '1256', 'rhum', 'sun', 'vis'], 'batch_size': 256}"
location_ft + link_ft + weather_ft,136.62795724885174,661158.8004626702,"{'hidden_dim': 32, 'layer_num': 1, 'lr': 0.0077852527758220345, 'dropout': 0.10763918196724123, 'input_feature_num': 20, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['lat', 'long', '20223', 'GL1', '1255', '1405', '1404', '1403', 'GL2', '1271', '1253', '1401', 'GL3', '1283', '1258', '1256', 'rhum', 'sun', 'vis'], 'batch_size': 256}"
