Extra_feature_col,RMSE Score,MAE Score,Best config
None,150.22272341791543,98.22816917789277,"{'hidden_dim': 32, 'layer_num': 1, 'lr': 0.006338379327206844, 'dropout': 0.14791430868674085, 'input_feature_num': 1, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': [], 'batch_size': 256}"
location_ft,158.48502498046156,103.16347905759596,"{'hidden_dim': 32, 'layer_num': 1, 'lr': 0.005047110248321573, 'dropout': 0.1727901985498811, 'input_feature_num': 3, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['lat', 'long'], 'batch_size': 256}"
link_ft,140.1472099415547,94.411226900408,"{'hidden_dim': 32, 'layer_num': 1, 'lr': 0.008267820575688662, 'dropout': 0.11986706455356137, 'input_feature_num': 15, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['20223', 'GL1', '1255', '1405', '1404', '1403', 'GL2', '1271', '1253', '1401', 'GL3', '1283', '1258', '1256'], 'batch_size': 256}"
weather_ft,157.0619228576143,105.5837447285462,"{'hidden_dim': 32, 'layer_num': 1, 'lr': 0.006306231079616922, 'dropout': 0.18444256919161428, 'input_feature_num': 4, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['rhum', 'sun', 'vis'], 'batch_size': 256}"
location_ft + link_ft,133.02773255228502,91.79395293604706,"{'hidden_dim': 32, 'layer_num': 1, 'lr': 0.009904097258221934, 'dropout': 0.11579434706773678, 'input_feature_num': 17, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['lat', 'long', '20223', 'GL1', '1255', '1405', '1404', '1403', 'GL2', '1271', '1253', '1401', 'GL3', '1283', '1258', '1256'], 'batch_size': 256}"
location_ft + weather_ft,148.04104338784376,99.80112212310043,"{'hidden_dim': 32, 'layer_num': 1, 'lr': 0.008899595659456198, 'dropout': 0.12880762813731195, 'input_feature_num': 6, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['lat', 'long', 'rhum', 'sun', 'vis'], 'batch_size': 256}"
link_ft + weather_ft,134.9164573467343,93.50263755473335,"{'hidden_dim': 32, 'layer_num': 1, 'lr': 0.009327763583879307, 'dropout': 0.17899288494697513, 'input_feature_num': 18, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['20223', 'GL1', '1255', '1405', '1404', '1403', 'GL2', '1271', '1253', '1401', 'GL3', '1283', '1258', '1256', 'rhum', 'sun', 'vis'], 'batch_size': 256}"
location_ft + link_ft + weather_ft,133.0020440829725,91.9943391187668,"{'hidden_dim': 32, 'layer_num': 1, 'lr': 0.008775362717669096, 'dropout': 0.11289005339109964, 'input_feature_num': 20, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['lat', 'long', '20223', 'GL1', '1255', '1405', '1404', '1403', 'GL2', '1271', '1253', '1401', 'GL3', '1283', '1258', '1256', 'rhum', 'sun', 'vis'], 'batch_size': 256}"
