Extra_feature_col,RMSE Score,MAE Score,Best config
None,129.66332744487576,82.5973679784496,"{'hidden_dim': 32, 'layer_num': 2, 'lr': 0.006166514195155598, 'dropout': 0.1644914004399291, 'input_feature_num': 1, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': [], 'batch_size': 128}"
location_ft,124.43720869497895,81.33329561682537,"{'hidden_dim': 32, 'layer_num': 2, 'lr': 0.008575763317361026, 'dropout': 0.10137534983201535, 'input_feature_num': 3, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['lat', 'long'], 'batch_size': 128}"
link_ft,129.28030874482258,86.84650784740259,"{'hidden_dim': 32, 'layer_num': 2, 'lr': 0.005635275013733366, 'dropout': 0.13716128435542552, 'input_feature_num': 15, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['20223', 'GL1', '1255', '1405', '1404', '1403', 'GL2', '1271', '1253', '1401', 'GL3', '1283', '1258', '1256'], 'batch_size': 128}"
weather_ft,126.48584168251776,85.54143383950094,"{'hidden_dim': 32, 'layer_num': 2, 'lr': 0.009870530925769946, 'dropout': 0.1316044155372844, 'input_feature_num': 4, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['rhum', 'sun', 'vis'], 'batch_size': 128}"
location_ft + link_ft,117.49034487373123,78.99525758151425,"{'hidden_dim': 32, 'layer_num': 2, 'lr': 0.006504007148413304, 'dropout': 0.15373764276015142, 'input_feature_num': 17, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['lat', 'long', '20223', 'GL1', '1255', '1405', '1404', '1403', 'GL2', '1271', '1253', '1401', 'GL3', '1283', '1258', '1256'], 'batch_size': 128}"
location_ft + weather_ft,126.80995819417402,82.86358118312108,"{'hidden_dim': 32, 'layer_num': 2, 'lr': 0.00625931416587355, 'dropout': 0.15233077357084662, 'input_feature_num': 6, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['lat', 'long', 'rhum', 'sun', 'vis'], 'batch_size': 128}"
link_ft + weather_ft,123.25461401615087,82.46510627990432,"{'hidden_dim': 32, 'layer_num': 2, 'lr': 0.006076869910415775, 'dropout': 0.12115539270442643, 'input_feature_num': 18, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['20223', 'GL1', '1255', '1405', '1404', '1403', 'GL2', '1271', '1253', '1401', 'GL3', '1283', '1258', '1256', 'rhum', 'sun', 'vis'], 'batch_size': 128}"
location_ft + link_ft + weather_ft,123.23758828080112,81.59848127130525,"{'hidden_dim': 32, 'layer_num': 2, 'lr': 0.00872027364188084, 'dropout': 0.17577681372663423, 'input_feature_num': 20, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['lat', 'long', '20223', 'GL1', '1255', '1405', '1404', '1403', 'GL2', '1271', '1253', '1401', 'GL3', '1283', '1258', '1256', 'rhum', 'sun', 'vis'], 'batch_size': 128}"
