Extra_feature_col,RMSE Score,MAPE Score,Best config
None,144.61249223759515,417378.46804937127,"{'hidden_dim': 32, 'layer_num': 1, 'lr': 0.009324965699994602, 'dropout': 0.11930783812580724, 'input_feature_num': 1, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': [], 'batch_size': 256}"
time_ft,176.44645614227198,569748.5725593735,"{'hidden_dim': 16, 'layer_num': 1, 'lr': 0.006976339360115583, 'dropout': 0.12523308933875446, 'input_feature_num': 2, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['weekend'], 'batch_size': 256}"
location_ft,145.5568304126818,411720.5519915884,"{'hidden_dim': 32, 'layer_num': 1, 'lr': 0.008573364845517698, 'dropout': 0.11379396652675632, 'input_feature_num': 3, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['lat', 'long'], 'batch_size': 256}"
link_ft,143.1168336822046,232551.4505598404,"{'hidden_dim': 16, 'layer_num': 1, 'lr': 0.007224054954584578, 'dropout': 0.13728246010253317, 'input_feature_num': 15, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['20223', 'GL1', '1255', '1405', '1404', '1403', 'GL2', '1271', '1253', '1401', 'GL3', '1283', '1258', '1256'], 'batch_size': 256}"
weather_ft,147.84932304214894,107841.47922081221,"{'hidden_dim': 32, 'layer_num': 1, 'lr': 0.005111019041510037, 'dropout': 0.13003113778309613, 'input_feature_num': 4, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['rhum', 'sun', 'vis'], 'batch_size': 256}"
time_ft + location_ft,156.36125231608838,363018.85526646825,"{'hidden_dim': 32, 'layer_num': 1, 'lr': 0.005882823533042152, 'dropout': 0.14621589584919967, 'input_feature_num': 4, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['weekend', 'lat', 'long'], 'batch_size': 256}"
time_ft + link_ft,157.74544553334772,212548.28816692054,"{'hidden_dim': 16, 'layer_num': 1, 'lr': 0.0077985947182534505, 'dropout': 0.17895160542185265, 'input_feature_num': 16, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['weekend', '20223', 'GL1', '1255', '1405', '1404', '1403', 'GL2', '1271', '1253', '1401', 'GL3', '1283', '1258', '1256'], 'batch_size': 256}"
time_ft + weather_ft,158.4666121840363,177645.15802610706,"{'hidden_dim': 16, 'layer_num': 1, 'lr': 0.008913360737436371, 'dropout': 0.19685926070212617, 'input_feature_num': 5, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['weekend', 'rhum', 'sun', 'vis'], 'batch_size': 256}"
location_ft + link_ft,140.24778942288376,722172.1036159814,"{'hidden_dim': 16, 'layer_num': 1, 'lr': 0.009003174747716787, 'dropout': 0.1802231435976409, 'input_feature_num': 17, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['lat', 'long', '20223', 'GL1', '1255', '1405', '1404', '1403', 'GL2', '1271', '1253', '1401', 'GL3', '1283', '1258', '1256'], 'batch_size': 256}"
location_ft + weather_ft,150.80100035984367,605989.133534735,"{'hidden_dim': 32, 'layer_num': 1, 'lr': 0.005881514921142893, 'dropout': 0.1285345814179461, 'input_feature_num': 6, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['lat', 'long', 'rhum', 'sun', 'vis'], 'batch_size': 256}"
link_ft + weather_ft,138.36357770080645,240773.53235937876,"{'hidden_dim': 32, 'layer_num': 1, 'lr': 0.007159592999228097, 'dropout': 0.10020775880577876, 'input_feature_num': 18, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['20223', 'GL1', '1255', '1405', '1404', '1403', 'GL2', '1271', '1253', '1401', 'GL3', '1283', '1258', '1256', 'rhum', 'sun', 'vis'], 'batch_size': 256}"
time_ft + location_ft + link_ft,145.84333269072647,127299.94111555378,"{'hidden_dim': 32, 'layer_num': 1, 'lr': 0.0094362280905116, 'dropout': 0.166826785583719, 'input_feature_num': 18, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['weekend', 'lat', 'long', '20223', 'GL1', '1255', '1405', '1404', '1403', 'GL2', '1271', '1253', '1401', 'GL3', '1283', '1258', '1256'], 'batch_size': 256}"
time_ft + location_ft + weather_ft,160.84329842600403,303388.18409323756,"{'hidden_dim': 32, 'layer_num': 1, 'lr': 0.0052875188959410225, 'dropout': 0.19978146041079006, 'input_feature_num': 7, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['weekend', 'lat', 'long', 'rhum', 'sun', 'vis'], 'batch_size': 256}"
time_ft + link_ft + weather_ft,160.75012997553765,921490.7419523281,"{'hidden_dim': 16, 'layer_num': 1, 'lr': 0.008949710342514369, 'dropout': 0.10377429862896864, 'input_feature_num': 19, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['weekend', '20223', 'GL1', '1255', '1405', '1404', '1403', 'GL2', '1271', '1253', '1401', 'GL3', '1283', '1258', '1256', 'rhum', 'sun', 'vis'], 'batch_size': 256}"
location_ft + link_ft + weather_ft,142.40757268547725,733030.0536406996,"{'hidden_dim': 32, 'layer_num': 1, 'lr': 0.006261128918397705, 'dropout': 0.19827081241326344, 'input_feature_num': 20, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['lat', 'long', '20223', 'GL1', '1255', '1405', '1404', '1403', 'GL2', '1271', '1253', '1401', 'GL3', '1283', '1258', '1256', 'rhum', 'sun', 'vis'], 'batch_size': 256}"
time_ft + location_ft + link_ft + weather_ft,159.11097705272718,331111.0520469969,"{'hidden_dim': 16, 'layer_num': 1, 'lr': 0.006260829725487692, 'dropout': 0.1278309425375423, 'input_feature_num': 21, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['weekend', 'lat', 'long', '20223', 'GL1', '1255', '1405', '1404', '1403', 'GL2', '1271', '1253', '1401', 'GL3', '1283', '1258', '1256', 'rhum', 'sun', 'vis'], 'batch_size': 256}"
