Extra_feature_col,RMSE Score,MAE Score,Best config
location_ft + link_ft,120.79740241302318,81.66583064773482,"{'hidden_dim': 32, 'layer_num': 2, 'lr': 0.0059086972943963164, 'dropout': 0.13373797761061174, 'input_feature_num': 17, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['lat', 'long', '20223', 'GL1', '1255', '1405', '1404', '1403', 'GL2', '1271', '1253', '1401', 'GL3', '1283', '1258', '1256'], 'batch_size': 128}"
link_ft + weather_ft,122.05494094483028,80.952637214713,"{'hidden_dim': 32, 'layer_num': 2, 'lr': 0.008280751313949154, 'dropout': 0.139126709467732, 'input_feature_num': 18, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['20223', 'GL1', '1255', '1405', '1404', '1403', 'GL2', '1271', '1253', '1401', 'GL3', '1283', '1258', '1256', 'rhum', 'sun', 'vis'], 'batch_size': 128}"
location_ft + link_ft + weather_ft,122.85269667712824,81.85574125704355,"{'hidden_dim': 32, 'layer_num': 2, 'lr': 0.007755151087426677, 'dropout': 0.18855707863651722, 'input_feature_num': 20, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['lat', 'long', '20223', 'GL1', '1255', '1405', '1404', '1403', 'GL2', '1271', '1253', '1401', 'GL3', '1283', '1258', '1256', 'rhum', 'sun', 'vis'], 'batch_size': 128}"
link_ft,126.00471163010934,83.80412038944247,"{'hidden_dim': 32, 'layer_num': 2, 'lr': 0.0060719284432034885, 'dropout': 0.129816429927506, 'input_feature_num': 15, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['20223', 'GL1', '1255', '1405', '1404', '1403', 'GL2', '1271', '1253', '1401', 'GL3', '1283', '1258', '1256'], 'batch_size': 128}"
weather_ft,127.44717836601473,84.21389801727106,"{'hidden_dim': 32, 'layer_num': 2, 'lr': 0.006450782142745595, 'dropout': 0.13864745392923838, 'input_feature_num': 4, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['rhum', 'sun', 'vis'], 'batch_size': 128}"
None,129.85946879094942,86.09942755520946,"{'hidden_dim': 32, 'layer_num': 2, 'lr': 0.007869019830497252, 'dropout': 0.17716710711149233, 'input_feature_num': 1, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': [], 'batch_size': 128}"
location_ft,133.64832323989063,88.52879615633985,"{'hidden_dim': 32, 'layer_num': 2, 'lr': 0.005060875833920856, 'dropout': 0.17502716835450696, 'input_feature_num': 3, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['lat', 'long'], 'batch_size': 128}"
location_ft + weather_ft,138.74556911699977,92.86023071681498,"{'hidden_dim': 32, 'layer_num': 2, 'lr': 0.009405091188689488, 'dropout': 0.19189918639882264, 'input_feature_num': 6, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['lat', 'long', 'rhum', 'sun', 'vis'], 'batch_size': 128}"
