Extra_feature_col,RMSE Score,MAPE Score,Best config
None,146.607195330783,656113.4859554119,"{'hidden_dim': 32, 'layer_num': 1, 'lr': 0.007326603285283816, 'dropout': 0.16398039944647924, 'input_feature_num': 1, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': [], 'batch_size': 256}"
location_ft,152.91869894317506,716375.5351535385,"{'hidden_dim': 32, 'layer_num': 1, 'lr': 0.00625120657262452, 'dropout': 0.1997412383697121, 'input_feature_num': 3, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['lat', 'long'], 'batch_size': 256}"
link_ft,131.94075976535524,144873.51608561462,"{'hidden_dim': 32, 'layer_num': 1, 'lr': 0.00853485495254466, 'dropout': 0.10344586008923323, 'input_feature_num': 15, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['20223', 'GL1', '1255', '1405', '1404', '1403', 'GL2', '1271', '1253', '1401', 'GL3', '1283', '1258', '1256'], 'batch_size': 256}"
weather_ft,150.22567030734407,376960.8198159421,"{'hidden_dim': 32, 'layer_num': 1, 'lr': 0.0090874896864725, 'dropout': 0.16421629653789954, 'input_feature_num': 4, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['rhum', 'sun', 'vis'], 'batch_size': 256}"
location_ft + link_ft,127.74595658232784,211314.39340285055,"{'hidden_dim': 32, 'layer_num': 1, 'lr': 0.008311594020020813, 'dropout': 0.11575052012121745, 'input_feature_num': 17, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['lat', 'long', '20223', 'GL1', '1255', '1405', '1404', '1403', 'GL2', '1271', '1253', '1401', 'GL3', '1283', '1258', '1256'], 'batch_size': 256}"
location_ft + weather_ft,148.36038545663823,100167.24770433725,"{'hidden_dim': 32, 'layer_num': 1, 'lr': 0.007463455467465558, 'dropout': 0.1643058264573234, 'input_feature_num': 6, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['lat', 'long', 'rhum', 'sun', 'vis'], 'batch_size': 256}"
link_ft + weather_ft,134.43386851403952,208472.11441264607,"{'hidden_dim': 32, 'layer_num': 1, 'lr': 0.005898435595183222, 'dropout': 0.11602536863468924, 'input_feature_num': 18, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['20223', 'GL1', '1255', '1405', '1404', '1403', 'GL2', '1271', '1253', '1401', 'GL3', '1283', '1258', '1256', 'rhum', 'sun', 'vis'], 'batch_size': 256}"
location_ft + link_ft + weather_ft,129.39001672889168,277254.1824013824,"{'hidden_dim': 32, 'layer_num': 1, 'lr': 0.009800638519971148, 'dropout': 0.18747631938246967, 'input_feature_num': 20, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['lat', 'long', '20223', 'GL1', '1255', '1405', '1404', '1403', 'GL2', '1271', '1253', '1401', 'GL3', '1283', '1258', '1256', 'rhum', 'sun', 'vis'], 'batch_size': 256}"
