Extra_feature_col,RMSE Score,MAPE Score,Best config
None,152.8146589075986,252131.427089279,"{'hidden_dim': 32, 'layer_num': 1, 'lr': 0.005536602433249797, 'dropout': 0.18722344196723845, 'input_feature_num': 1, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': [], 'batch_size': 256}"
location_ft,151.1732070516272,87877.1680331287,"{'hidden_dim': 32, 'layer_num': 1, 'lr': 0.00854919685026986, 'dropout': 0.12327295514786211, 'input_feature_num': 3, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['lat', 'long'], 'batch_size': 256}"
link_ft,132.07599189882092,313005.65607144637,"{'hidden_dim': 32, 'layer_num': 1, 'lr': 0.009202343647325036, 'dropout': 0.138279337079946, 'input_feature_num': 15, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['20223', 'GL1', '1255', '1405', '1404', '1403', 'GL2', '1271', '1253', '1401', 'GL3', '1283', '1258', '1256'], 'batch_size': 256}"
weather_ft,151.07593591471374,669605.5245208776,"{'hidden_dim': 32, 'layer_num': 1, 'lr': 0.007948816216654983, 'dropout': 0.15138370779439686, 'input_feature_num': 4, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['rhum', 'sun', 'vis'], 'batch_size': 256}"
location_ft + link_ft,147.49663839923477,340482.16415086633,"{'hidden_dim': 32, 'layer_num': 1, 'lr': 0.008786385206902449, 'dropout': 0.1435029924927975, 'input_feature_num': 17, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['lat', 'long', '20223', 'GL1', '1255', '1405', '1404', '1403', 'GL2', '1271', '1253', '1401', 'GL3', '1283', '1258', '1256'], 'batch_size': 256}"
location_ft + weather_ft,151.8400233308619,205984.82554588837,"{'hidden_dim': 32, 'layer_num': 1, 'lr': 0.0054386240043636305, 'dropout': 0.139985426660838, 'input_feature_num': 6, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['lat', 'long', 'rhum', 'sun', 'vis'], 'batch_size': 256}"
link_ft + weather_ft,139.7395301407208,286118.3213251279,"{'hidden_dim': 32, 'layer_num': 1, 'lr': 0.006928969842095899, 'dropout': 0.15881972855082693, 'input_feature_num': 18, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['20223', 'GL1', '1255', '1405', '1404', '1403', 'GL2', '1271', '1253', '1401', 'GL3', '1283', '1258', '1256', 'rhum', 'sun', 'vis'], 'batch_size': 256}"
location_ft + link_ft + weather_ft,138.3424842095581,160129.6537603321,"{'hidden_dim': 32, 'layer_num': 1, 'lr': 0.0057370643433681786, 'dropout': 0.1246876285174107, 'input_feature_num': 20, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['lat', 'long', '20223', 'GL1', '1255', '1405', '1404', '1403', 'GL2', '1271', '1253', '1401', 'GL3', '1283', '1258', '1256', 'rhum', 'sun', 'vis'], 'batch_size': 256}"
