Extra_feature_col,RMSE Score,MAPE Score,Best config
None,154.18215086125645,247799.5519839894,"{'hidden_dim': 32, 'layer_num': 1, 'lr': 0.005969996716893316, 'dropout': 0.19238207555662382, 'input_feature_num': 1, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': [], 'batch_size': 256}"
location_ft,145.73402898956135,338829.4049351443,"{'hidden_dim': 32, 'layer_num': 1, 'lr': 0.00946388999792262, 'dropout': 0.15799637112727466, 'input_feature_num': 3, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['lat', 'long'], 'batch_size': 256}"
link_ft,140.2937628473087,371183.71651483676,"{'hidden_dim': 32, 'layer_num': 1, 'lr': 0.007159332523108428, 'dropout': 0.13071649591075982, 'input_feature_num': 15, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['20223', 'GL1', '1255', '1405', '1404', '1403', 'GL2', '1271', '1253', '1401', 'GL3', '1283', '1258', '1256'], 'batch_size': 256}"
weather_ft,153.22744376879984,139335.58682858717,"{'hidden_dim': 32, 'layer_num': 1, 'lr': 0.009945304440445746, 'dropout': 0.1252202099008874, 'input_feature_num': 4, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['rhum', 'sun', 'vis'], 'batch_size': 256}"
location_ft + link_ft,129.97611821569544,165790.6368102841,"{'hidden_dim': 32, 'layer_num': 1, 'lr': 0.008241601324321604, 'dropout': 0.17536318856236702, 'input_feature_num': 17, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['lat', 'long', '20223', 'GL1', '1255', '1405', '1404', '1403', 'GL2', '1271', '1253', '1401', 'GL3', '1283', '1258', '1256'], 'batch_size': 256}"
location_ft + weather_ft,144.33846764057762,248142.06106619164,"{'hidden_dim': 32, 'layer_num': 1, 'lr': 0.007107418117115127, 'dropout': 0.19336547026201203, 'input_feature_num': 6, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['lat', 'long', 'rhum', 'sun', 'vis'], 'batch_size': 256}"
link_ft + weather_ft,132.96091368645494,170468.5490718596,"{'hidden_dim': 32, 'layer_num': 1, 'lr': 0.007331920782436823, 'dropout': 0.1257506545577552, 'input_feature_num': 18, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['20223', 'GL1', '1255', '1405', '1404', '1403', 'GL2', '1271', '1253', '1401', 'GL3', '1283', '1258', '1256', 'rhum', 'sun', 'vis'], 'batch_size': 256}"
location_ft + link_ft + weather_ft,133.76023216360596,311048.77167456236,"{'hidden_dim': 32, 'layer_num': 1, 'lr': 0.007548336773941479, 'dropout': 0.10216785161992142, 'input_feature_num': 20, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['lat', 'long', '20223', 'GL1', '1255', '1405', '1404', '1403', 'GL2', '1271', '1253', '1401', 'GL3', '1283', '1258', '1256', 'rhum', 'sun', 'vis'], 'batch_size': 256}"
