Extra_feature_col,RMSE Score,MAPE Score,Best config
None,152.65076821105893,199288.22431576392,"{'hidden_dim': 32, 'layer_num': 1, 'lr': 0.007118413076676751, 'dropout': 0.11387103557482883, 'input_feature_num': 1, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': [], 'batch_size': 256}"
location_ft,138.1078929690981,93606.48056264716,"{'hidden_dim': 32, 'layer_num': 1, 'lr': 0.006102905124725943, 'dropout': 0.15759168589048628, 'input_feature_num': 3, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['lat', 'long'], 'batch_size': 256}"
link_ft,129.1821035076258,468490.0762679462,"{'hidden_dim': 32, 'layer_num': 1, 'lr': 0.007317811407099422, 'dropout': 0.15532455027408182, 'input_feature_num': 15, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['20223', 'GL1', '1255', '1405', '1404', '1403', 'GL2', '1271', '1253', '1401', 'GL3', '1283', '1258', '1256'], 'batch_size': 256}"
weather_ft,148.57293338279342,201875.79729929272,"{'hidden_dim': 32, 'layer_num': 1, 'lr': 0.009307444819615063, 'dropout': 0.18875026868845485, 'input_feature_num': 4, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['rhum', 'sun', 'vis'], 'batch_size': 256}"
location_ft + link_ft,133.07775533215715,212594.80568749525,"{'hidden_dim': 32, 'layer_num': 1, 'lr': 0.00824929439619647, 'dropout': 0.11647428601565457, 'input_feature_num': 17, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['lat', 'long', '20223', 'GL1', '1255', '1405', '1404', '1403', 'GL2', '1271', '1253', '1401', 'GL3', '1283', '1258', '1256'], 'batch_size': 256}"
location_ft + weather_ft,142.61650871198754,295486.0981453745,"{'hidden_dim': 32, 'layer_num': 1, 'lr': 0.005600224265983913, 'dropout': 0.16985207743933356, 'input_feature_num': 6, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['lat', 'long', 'rhum', 'sun', 'vis'], 'batch_size': 256}"
link_ft + weather_ft,129.5485285223739,242502.22279917277,"{'hidden_dim': 32, 'layer_num': 1, 'lr': 0.00969686546155087, 'dropout': 0.12889861621250479, 'input_feature_num': 18, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['20223', 'GL1', '1255', '1405', '1404', '1403', 'GL2', '1271', '1253', '1401', 'GL3', '1283', '1258', '1256', 'rhum', 'sun', 'vis'], 'batch_size': 256}"
location_ft + link_ft + weather_ft,137.00746403133326,102599.67617491532,"{'hidden_dim': 32, 'layer_num': 1, 'lr': 0.005855930284796013, 'dropout': 0.1385948182873054, 'input_feature_num': 20, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['lat', 'long', '20223', 'GL1', '1255', '1405', '1404', '1403', 'GL2', '1271', '1253', '1401', 'GL3', '1283', '1258', '1256', 'rhum', 'sun', 'vis'], 'batch_size': 256}"
