Extra_feature_col,RMSE Score,MAPE Score,Best config
None,149.59667231750387,115590.57235748999,"{'hidden_dim': 32, 'layer_num': 1, 'lr': 0.007969117438796584, 'dropout': 0.11361545196347679, 'input_feature_num': 1, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': [], 'batch_size': 256}"
location_ft,150.18148393214742,137419.32359016972,"{'hidden_dim': 32, 'layer_num': 1, 'lr': 0.005575291237980316, 'dropout': 0.13021445270883691, 'input_feature_num': 3, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['lat', 'long'], 'batch_size': 256}"
link_ft,135.08842076525073,354440.76677122386,"{'hidden_dim': 32, 'layer_num': 1, 'lr': 0.006153482525900234, 'dropout': 0.17641235640969455, 'input_feature_num': 15, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['20223', 'GL1', '1255', '1405', '1404', '1403', 'GL2', '1271', '1253', '1401', 'GL3', '1283', '1258', '1256'], 'batch_size': 256}"
weather_ft,146.81562024722595,335026.18492713955,"{'hidden_dim': 32, 'layer_num': 1, 'lr': 0.006674423526307136, 'dropout': 0.10079119807568909, 'input_feature_num': 4, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['rhum', 'sun', 'vis'], 'batch_size': 256}"
location_ft + link_ft,130.1401036650244,389622.72969539085,"{'hidden_dim': 32, 'layer_num': 1, 'lr': 0.008702463161654123, 'dropout': 0.18568158690225633, 'input_feature_num': 17, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['lat', 'long', '20223', 'GL1', '1255', '1405', '1404', '1403', 'GL2', '1271', '1253', '1401', 'GL3', '1283', '1258', '1256'], 'batch_size': 256}"
location_ft + weather_ft,144.331208023153,225114.42211112787,"{'hidden_dim': 32, 'layer_num': 1, 'lr': 0.00852736330252596, 'dropout': 0.14583956235779677, 'input_feature_num': 6, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['lat', 'long', 'rhum', 'sun', 'vis'], 'batch_size': 256}"
link_ft + weather_ft,152.02459214301817,128717.58593578523,"{'hidden_dim': 32, 'layer_num': 1, 'lr': 0.005131933546781118, 'dropout': 0.17532847681595648, 'input_feature_num': 18, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['20223', 'GL1', '1255', '1405', '1404', '1403', 'GL2', '1271', '1253', '1401', 'GL3', '1283', '1258', '1256', 'rhum', 'sun', 'vis'], 'batch_size': 256}"
location_ft + link_ft + weather_ft,136.10194423053227,289888.2467932105,"{'hidden_dim': 32, 'layer_num': 1, 'lr': 0.009952219890283994, 'dropout': 0.17804783856378895, 'input_feature_num': 20, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['lat', 'long', '20223', 'GL1', '1255', '1405', '1404', '1403', 'GL2', '1271', '1253', '1401', 'GL3', '1283', '1258', '1256', 'rhum', 'sun', 'vis'], 'batch_size': 256}"
