Extra_feature_col,RMSE Score,MAE Score,Best config
link_ft,117.7204541945398,80.35852983554253,"{'hidden_dim': 32, 'layer_num': 2, 'lr': 0.009347504036096646, 'dropout': 0.12547214337520304, 'input_feature_num': 15, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['20223', 'GL1', '1255', '1405', '1404', '1403', 'GL2', '1271', '1253', '1401', 'GL3', '1283', '1258', '1256'], 'batch_size': 128}"
location_ft + link_ft + weather_ft,120.0699513662913,81.39488499733305,"{'hidden_dim': 32, 'layer_num': 2, 'lr': 0.006276051892191558, 'dropout': 0.16561871419642715, 'input_feature_num': 20, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['lat', 'long', '20223', 'GL1', '1255', '1405', '1404', '1403', 'GL2', '1271', '1253', '1401', 'GL3', '1283', '1258', '1256', 'rhum', 'sun', 'vis'], 'batch_size': 128}"
link_ft + weather_ft,122.16376590279059,81.9326630532307,"{'hidden_dim': 32, 'layer_num': 2, 'lr': 0.005196831416325883, 'dropout': 0.146256179108328, 'input_feature_num': 18, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['20223', 'GL1', '1255', '1405', '1404', '1403', 'GL2', '1271', '1253', '1401', 'GL3', '1283', '1258', '1256', 'rhum', 'sun', 'vis'], 'batch_size': 128}"
location_ft + link_ft,122.22691004269035,81.98304787959847,"{'hidden_dim': 32, 'layer_num': 2, 'lr': 0.008507165026830769, 'dropout': 0.16490851709139417, 'input_feature_num': 17, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['lat', 'long', '20223', 'GL1', '1255', '1405', '1404', '1403', 'GL2', '1271', '1253', '1401', 'GL3', '1283', '1258', '1256'], 'batch_size': 128}"
location_ft,129.311461806285,88.4998258309049,"{'hidden_dim': 32, 'layer_num': 2, 'lr': 0.006424122915513115, 'dropout': 0.19520891211762617, 'input_feature_num': 3, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['lat', 'long'], 'batch_size': 128}"
weather_ft,130.78170701914513,85.40713452561073,"{'hidden_dim': 32, 'layer_num': 2, 'lr': 0.00629524098903977, 'dropout': 0.15971058683110967, 'input_feature_num': 4, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['rhum', 'sun', 'vis'], 'batch_size': 128}"
location_ft + weather_ft,134.0266779996357,90.31469399837977,"{'hidden_dim': 32, 'layer_num': 2, 'lr': 0.006589429033064103, 'dropout': 0.15631016718732707, 'input_feature_num': 6, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['lat', 'long', 'rhum', 'sun', 'vis'], 'batch_size': 128}"
None,136.75693669252112,91.92130156090651,"{'hidden_dim': 32, 'layer_num': 2, 'lr': 0.005380036136089629, 'dropout': 0.12299607034819003, 'input_feature_num': 1, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': [], 'batch_size': 128}"
