Extra_feature_col,RMSE Score,MAPE Score,Best config
None,151.8166665451011,193746.206200889,"{'hidden_dim': 32, 'layer_num': 1, 'lr': 0.009704424039835072, 'dropout': 0.19629630953987476, 'input_feature_num': 1, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': [], 'batch_size': 256}"
time_ft,153.3511516885087,27897.761572684107,"{'hidden_dim': 32, 'layer_num': 1, 'lr': 0.009489621293751287, 'dropout': 0.10501382226815838, 'input_feature_num': 2, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['weekend'], 'batch_size': 256}"
location_ft,145.90702255674208,32877.417947668284,"{'hidden_dim': 32, 'layer_num': 1, 'lr': 0.007344994422445197, 'dropout': 0.13044038230350943, 'input_feature_num': 3, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['lat', 'long'], 'batch_size': 256}"
link_ft,134.76378077859556,85481.27333636029,"{'hidden_dim': 32, 'layer_num': 1, 'lr': 0.009665454107571322, 'dropout': 0.16137604471115963, 'input_feature_num': 15, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['20223', 'GL1', '1255', '1405', '1404', '1403', 'GL2', '1271', '1253', '1401', 'GL3', '1283', '1258', '1256'], 'batch_size': 256}"
weather_ft,150.55268562994038,186598.38500591696,"{'hidden_dim': 32, 'layer_num': 1, 'lr': 0.00786854459954811, 'dropout': 0.17352982376159592, 'input_feature_num': 4, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['rhum', 'sun', 'vis'], 'batch_size': 256}"
time_ft + location_ft,150.19454510972088,479857.5851195821,"{'hidden_dim': 32, 'layer_num': 1, 'lr': 0.009332740083095712, 'dropout': 0.12855858877369664, 'input_feature_num': 4, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['weekend', 'lat', 'long'], 'batch_size': 256}"
time_ft + link_ft,151.583569751829,252943.91769799235,"{'hidden_dim': 32, 'layer_num': 1, 'lr': 0.006931321906570268, 'dropout': 0.16492329868526778, 'input_feature_num': 16, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['weekend', '20223', 'GL1', '1255', '1405', '1404', '1403', 'GL2', '1271', '1253', '1401', 'GL3', '1283', '1258', '1256'], 'batch_size': 256}"
time_ft + weather_ft,159.88064934035404,331498.8992522237,"{'hidden_dim': 32, 'layer_num': 1, 'lr': 0.005397945930393024, 'dropout': 0.19000382867296595, 'input_feature_num': 5, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['weekend', 'rhum', 'sun', 'vis'], 'batch_size': 256}"
location_ft + link_ft,148.4546060562346,179833.40323866895,"{'hidden_dim': 32, 'layer_num': 1, 'lr': 0.005387015470229427, 'dropout': 0.14930370496093184, 'input_feature_num': 17, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['lat', 'long', '20223', 'GL1', '1255', '1405', '1404', '1403', 'GL2', '1271', '1253', '1401', 'GL3', '1283', '1258', '1256'], 'batch_size': 256}"
location_ft + weather_ft,148.6277909040744,221850.474336974,"{'hidden_dim': 32, 'layer_num': 1, 'lr': 0.00909581593434466, 'dropout': 0.18835187717478988, 'input_feature_num': 6, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['lat', 'long', 'rhum', 'sun', 'vis'], 'batch_size': 256}"
