Extra_feature_col,RMSE Score,MAE Score,Best config
location_ft + link_ft + weather_ft,134.06924006862025,89.60453479008713,"{'input_feature_num': 20, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'lstm_hidden_dim': 16, 'lstm_layer_num': 2, 'lr': 0.004543940960226309, 'dropout': 0.17311260971940498, 'teacher_forcing': False, 'selected_features': ['lat', 'long', '20223', 'GL1', '1255', '1405', '1404', '1403', 'GL2', '1271', '1253', '1401', 'GL3', '1283', '1258', '1256', 'rhum', 'sun', 'vis'], 'batch_size': 128}"
link_ft + weather_ft,139.04448992064243,95.94192564779216,"{'input_feature_num': 18, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'lstm_hidden_dim': 16, 'lstm_layer_num': 2, 'lr': 0.0028606351930516956, 'dropout': 0.10165656335579275, 'teacher_forcing': False, 'selected_features': ['20223', 'GL1', '1255', '1405', '1404', '1403', 'GL2', '1271', '1253', '1401', 'GL3', '1283', '1258', '1256', 'rhum', 'sun', 'vis'], 'batch_size': 128}"
link_ft,142.85058287189784,95.84805000479425,"{'input_feature_num': 15, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'lstm_hidden_dim': 16, 'lstm_layer_num': 2, 'lr': 0.0021335006433560342, 'dropout': 0.06182337758744751, 'teacher_forcing': False, 'selected_features': ['20223', 'GL1', '1255', '1405', '1404', '1403', 'GL2', '1271', '1253', '1401', 'GL3', '1283', '1258', '1256'], 'batch_size': 128}"
location_ft + weather_ft,143.16943102613774,94.60245255325928,"{'input_feature_num': 6, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'lstm_hidden_dim': 16, 'lstm_layer_num': 2, 'lr': 0.002600740421181764, 'dropout': 0.10660121722668316, 'teacher_forcing': False, 'selected_features': ['lat', 'long', 'rhum', 'sun', 'vis'], 'batch_size': 128}"
None,145.61556669827866,94.72064676308636,"{'input_feature_num': 1, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'lstm_hidden_dim': 16, 'lstm_layer_num': 2, 'lr': 0.004836673172891688, 'dropout': 0.2784810940212396, 'teacher_forcing': False, 'selected_features': [], 'batch_size': 128}"
location_ft + link_ft,149.53568792477017,98.67539843347403,"{'input_feature_num': 17, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'lstm_hidden_dim': 16, 'lstm_layer_num': 2, 'lr': 0.001983768579813831, 'dropout': 0.26061708137058937, 'teacher_forcing': False, 'selected_features': ['lat', 'long', '20223', 'GL1', '1255', '1405', '1404', '1403', 'GL2', '1271', '1253', '1401', 'GL3', '1283', '1258', '1256'], 'batch_size': 128}"
location_ft,155.46065073548613,102.94986603956653,"{'input_feature_num': 3, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'lstm_hidden_dim': 16, 'lstm_layer_num': 2, 'lr': 0.0011501492350016222, 'dropout': 0.07603838559413699, 'teacher_forcing': False, 'selected_features': ['lat', 'long'], 'batch_size': 128}"
weather_ft,162.43055882149451,109.04257019929835,"{'input_feature_num': 4, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'lstm_hidden_dim': 16, 'lstm_layer_num': 2, 'lr': 0.0011562919383715836, 'dropout': 0.24651629102384617, 'teacher_forcing': False, 'selected_features': ['rhum', 'sun', 'vis'], 'batch_size': 128}"
