Extra_feature_col,RMSE Score,MAE Score,Best config
None,137.32345036074275,90.50550377226983,"{'hidden_dim': 32, 'layer_num': 2, 'lr': 0.006311524950961673, 'dropout': 0.14582625382720832, 'input_feature_num': 1, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': [], 'batch_size': 256}"
location_ft,132.72948100354108,87.13829144306649,"{'hidden_dim': 32, 'layer_num': 2, 'lr': 0.0085768910499496, 'dropout': 0.1977119186627979, 'input_feature_num': 3, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['lat', 'long'], 'batch_size': 256}"
link_ft,125.52897034108283,83.69522925746249,"{'hidden_dim': 32, 'layer_num': 2, 'lr': 0.007169613804805802, 'dropout': 0.1855256436886853, 'input_feature_num': 15, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['20223', 'GL1', '1255', '1405', '1404', '1403', 'GL2', '1271', '1253', '1401', 'GL3', '1283', '1258', '1256'], 'batch_size': 256}"
weather_ft,148.196216250707,102.30464718164968,"{'hidden_dim': 32, 'layer_num': 2, 'lr': 0.008993830564771824, 'dropout': 0.16269361223621592, 'input_feature_num': 4, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['rhum', 'sun', 'vis'], 'batch_size': 256}"
location_ft + link_ft,123.83571637840795,86.16093960091973,"{'hidden_dim': 32, 'layer_num': 2, 'lr': 0.006047533843454304, 'dropout': 0.18443179934224696, 'input_feature_num': 17, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['lat', 'long', '20223', 'GL1', '1255', '1405', '1404', '1403', 'GL2', '1271', '1253', '1401', 'GL3', '1283', '1258', '1256'], 'batch_size': 256}"
location_ft + weather_ft,155.7333566337485,104.25236490371631,"{'hidden_dim': 32, 'layer_num': 2, 'lr': 0.008531759442748053, 'dropout': 0.11132938393184852, 'input_feature_num': 6, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['lat', 'long', 'rhum', 'sun', 'vis'], 'batch_size': 256}"
link_ft + weather_ft,139.53889758279368,96.09379919538335,"{'hidden_dim': 32, 'layer_num': 2, 'lr': 0.007313224132842851, 'dropout': 0.18370743762948397, 'input_feature_num': 18, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['20223', 'GL1', '1255', '1405', '1404', '1403', 'GL2', '1271', '1253', '1401', 'GL3', '1283', '1258', '1256', 'rhum', 'sun', 'vis'], 'batch_size': 256}"
location_ft + link_ft + weather_ft,127.42701895404204,85.02073496951095,"{'hidden_dim': 32, 'layer_num': 2, 'lr': 0.0054406224033840996, 'dropout': 0.1954718701440989, 'input_feature_num': 20, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['lat', 'long', '20223', 'GL1', '1255', '1405', '1404', '1403', 'GL2', '1271', '1253', '1401', 'GL3', '1283', '1258', '1256', 'rhum', 'sun', 'vis'], 'batch_size': 256}"
