Extra_feature_col,RMSE Score,MAPE Score,Best config
None,147.26313514332176,7368.835693157775,"{'hidden_dim': 32, 'layer_num': 1, 'lr': 0.0056078683358588574, 'dropout': 0.1029249140444688, 'input_feature_num': 1, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': [], 'batch_size': 256}"
time_ft,151.67804430230066,230207.58760691702,"{'hidden_dim': 16, 'layer_num': 1, 'lr': 0.008322321006440295, 'dropout': 0.15045487534243496, 'input_feature_num': 2, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['weekend'], 'batch_size': 256}"
location_ft,150.02552556384862,433293.97282570857,"{'hidden_dim': 32, 'layer_num': 1, 'lr': 0.008024059657607864, 'dropout': 0.16817569621922263, 'input_feature_num': 3, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['lat', 'long'], 'batch_size': 256}"
link_ft,137.30043798206853,156239.65601921972,"{'hidden_dim': 32, 'layer_num': 1, 'lr': 0.006598272928622624, 'dropout': 0.14460761667109792, 'input_feature_num': 15, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['20223', 'GL1', '1255', '1405', '1404', '1403', 'GL2', '1271', '1253', '1401', 'GL3', '1283', '1258', '1256'], 'batch_size': 256}"
weather_ft,143.4254553739021,116724.06194036697,"{'hidden_dim': 32, 'layer_num': 1, 'lr': 0.007641605799960125, 'dropout': 0.16003061362018262, 'input_feature_num': 4, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['rhum', 'sun', 'vis'], 'batch_size': 256}"
time_ft + location_ft,151.95302073765671,200902.5841575497,"{'hidden_dim': 16, 'layer_num': 1, 'lr': 0.007582709690119374, 'dropout': 0.12580566000845095, 'input_feature_num': 4, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['weekend', 'lat', 'long'], 'batch_size': 256}"
time_ft + link_ft,147.26418986102067,264058.77083166305,"{'hidden_dim': 16, 'layer_num': 1, 'lr': 0.009760933439673101, 'dropout': 0.17938497714571916, 'input_feature_num': 16, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['weekend', '20223', 'GL1', '1255', '1405', '1404', '1403', 'GL2', '1271', '1253', '1401', 'GL3', '1283', '1258', '1256'], 'batch_size': 256}"
time_ft + weather_ft,158.74994626574804,373615.591744928,"{'hidden_dim': 16, 'layer_num': 1, 'lr': 0.007754464663102133, 'dropout': 0.10973682805311465, 'input_feature_num': 5, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['weekend', 'rhum', 'sun', 'vis'], 'batch_size': 256}"
location_ft + link_ft,142.0168687874446,75414.61980163126,"{'hidden_dim': 32, 'layer_num': 1, 'lr': 0.008450742265148994, 'dropout': 0.1532515070199047, 'input_feature_num': 17, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['lat', 'long', '20223', 'GL1', '1255', '1405', '1404', '1403', 'GL2', '1271', '1253', '1401', 'GL3', '1283', '1258', '1256'], 'batch_size': 256}"
location_ft + weather_ft,149.14032725495633,307423.57902262406,"{'hidden_dim': 32, 'layer_num': 1, 'lr': 0.008471274245671321, 'dropout': 0.13254351843517773, 'input_feature_num': 6, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['lat', 'long', 'rhum', 'sun', 'vis'], 'batch_size': 256}"
link_ft + weather_ft,138.53061335135408,608227.0927710421,"{'hidden_dim': 32, 'layer_num': 1, 'lr': 0.009013473791518224, 'dropout': 0.12636728304866346, 'input_feature_num': 18, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['20223', 'GL1', '1255', '1405', '1404', '1403', 'GL2', '1271', '1253', '1401', 'GL3', '1283', '1258', '1256', 'rhum', 'sun', 'vis'], 'batch_size': 256}"
time_ft + location_ft + link_ft,157.40053115822988,303853.66678694356,"{'hidden_dim': 16, 'layer_num': 1, 'lr': 0.007448349784340635, 'dropout': 0.12143109311431544, 'input_feature_num': 18, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['weekend', 'lat', 'long', '20223', 'GL1', '1255', '1405', '1404', '1403', 'GL2', '1271', '1253', '1401', 'GL3', '1283', '1258', '1256'], 'batch_size': 256}"
time_ft + location_ft + weather_ft,156.57053818385359,242955.71491276775,"{'hidden_dim': 32, 'layer_num': 1, 'lr': 0.009083408070662317, 'dropout': 0.16723605540887995, 'input_feature_num': 7, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['weekend', 'lat', 'long', 'rhum', 'sun', 'vis'], 'batch_size': 256}"
time_ft + link_ft + weather_ft,153.78909278310906,262877.81939388375,"{'hidden_dim': 16, 'layer_num': 1, 'lr': 0.008679558663794516, 'dropout': 0.11047341678209173, 'input_feature_num': 19, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['weekend', '20223', 'GL1', '1255', '1405', '1404', '1403', 'GL2', '1271', '1253', '1401', 'GL3', '1283', '1258', '1256', 'rhum', 'sun', 'vis'], 'batch_size': 256}"
location_ft + link_ft + weather_ft,141.69588512583087,141839.51395635784,"{'hidden_dim': 32, 'layer_num': 1, 'lr': 0.009768433734158519, 'dropout': 0.1799467929738033, 'input_feature_num': 20, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['lat', 'long', '20223', 'GL1', '1255', '1405', '1404', '1403', 'GL2', '1271', '1253', '1401', 'GL3', '1283', '1258', '1256', 'rhum', 'sun', 'vis'], 'batch_size': 256}"
time_ft + location_ft + link_ft + weather_ft,162.2616002147325,548315.0624298905,"{'hidden_dim': 32, 'layer_num': 1, 'lr': 0.006290070322916594, 'dropout': 0.17073220696412303, 'input_feature_num': 21, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['weekend', 'lat', 'long', '20223', 'GL1', '1255', '1405', '1404', '1403', 'GL2', '1271', '1253', '1401', 'GL3', '1283', '1258', '1256', 'rhum', 'sun', 'vis'], 'batch_size': 256}"
