Extra_feature_col,RMSE Score,MAPE Score,Best config
None,150.54872666442446,216338.92099823235,"{'hidden_dim': 32, 'layer_num': 1, 'lr': 0.008306617983282433, 'dropout': 0.1253874535429802, 'input_feature_num': 1, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': [], 'batch_size': 256}"
location_ft,152.3125865878788,320533.40162686084,"{'hidden_dim': 32, 'layer_num': 1, 'lr': 0.006974744344958901, 'dropout': 0.12834600914969047, 'input_feature_num': 3, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['lat', 'long'], 'batch_size': 256}"
link_ft,141.9549829908469,614578.8476527287,"{'hidden_dim': 32, 'layer_num': 1, 'lr': 0.008841418770604273, 'dropout': 0.18138420794712942, 'input_feature_num': 15, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['20223', 'GL1', '1255', '1405', '1404', '1403', 'GL2', '1271', '1253', '1401', 'GL3', '1283', '1258', '1256'], 'batch_size': 256}"
weather_ft,142.3583801334695,248393.56392030875,"{'hidden_dim': 32, 'layer_num': 1, 'lr': 0.00857775981072304, 'dropout': 0.1828994683828001, 'input_feature_num': 4, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['rhum', 'sun', 'vis'], 'batch_size': 256}"
location_ft + link_ft,147.71827071810335,499865.0914993881,"{'hidden_dim': 32, 'layer_num': 1, 'lr': 0.006067323729593485, 'dropout': 0.11645923258475764, 'input_feature_num': 17, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['lat', 'long', '20223', 'GL1', '1255', '1405', '1404', '1403', 'GL2', '1271', '1253', '1401', 'GL3', '1283', '1258', '1256'], 'batch_size': 256}"
location_ft + weather_ft,153.60355304683185,833563.967781556,"{'hidden_dim': 32, 'layer_num': 1, 'lr': 0.008320155830725005, 'dropout': 0.18445440826921372, 'input_feature_num': 6, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['lat', 'long', 'rhum', 'sun', 'vis'], 'batch_size': 256}"
link_ft + weather_ft,140.68181184695914,112187.64923866578,"{'hidden_dim': 32, 'layer_num': 1, 'lr': 0.009415098434133275, 'dropout': 0.17086141287895878, 'input_feature_num': 18, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['20223', 'GL1', '1255', '1405', '1404', '1403', 'GL2', '1271', '1253', '1401', 'GL3', '1283', '1258', '1256', 'rhum', 'sun', 'vis'], 'batch_size': 256}"
location_ft + link_ft + weather_ft,148.49381786276285,261901.68320099288,"{'hidden_dim': 32, 'layer_num': 1, 'lr': 0.006292437577766669, 'dropout': 0.15515226650924338, 'input_feature_num': 20, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['lat', 'long', '20223', 'GL1', '1255', '1405', '1404', '1403', 'GL2', '1271', '1253', '1401', 'GL3', '1283', '1258', '1256', 'rhum', 'sun', 'vis'], 'batch_size': 256}"
