Extra_feature_col,RMSE Score,MAPE Score,Best config
None,142.82618355934588,194720.88853075466,"{'hidden_dim': 32, 'layer_num': 1, 'lr': 0.01, 'dropout': 0.2, 'input_feature_num': 1, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': [], 'batch_size': 256}"
time_ft,152.23695970101656,353595.74045127095,"{'hidden_dim': 32, 'layer_num': 1, 'lr': 0.01, 'dropout': 0.2, 'input_feature_num': 2, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['weekend'], 'batch_size': 256}"
location_ft,149.68922786964458,95353.2109012394,"{'hidden_dim': 16, 'layer_num': 1, 'lr': 0.01, 'dropout': 0.2, 'input_feature_num': 3, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['lat', 'long'], 'batch_size': 256}"
link_ft,137.10204101231082,481189.62338760815,"{'hidden_dim': 16, 'layer_num': 1, 'lr': 0.01, 'dropout': 0.2, 'input_feature_num': 15, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['20223', 'GL1', '1255', '1405', '1404', '1403', 'GL2', '1271', '1253', '1401', 'GL3', '1283', '1258', '1256'], 'batch_size': 256}"
weather_ft,145.78096753491656,91341.08306828675,"{'hidden_dim': 32, 'layer_num': 1, 'lr': 0.01, 'dropout': 0.2, 'input_feature_num': 4, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['rhum', 'sun', 'vis'], 'batch_size': 256}"
time_ft + location_ft,154.58286754092222,556739.2427900535,"{'hidden_dim': 32, 'layer_num': 1, 'lr': 0.01, 'dropout': 0.2, 'input_feature_num': 4, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['weekend', 'lat', 'long'], 'batch_size': 256}"
time_ft + link_ft,145.7225081945475,168132.65567070735,"{'hidden_dim': 16, 'layer_num': 1, 'lr': 0.01, 'dropout': 0.2, 'input_feature_num': 16, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['weekend', '20223', 'GL1', '1255', '1405', '1404', '1403', 'GL2', '1271', '1253', '1401', 'GL3', '1283', '1258', '1256'], 'batch_size': 256}"
time_ft + weather_ft,150.1490829096459,131080.7289644227,"{'hidden_dim': 16, 'layer_num': 1, 'lr': 0.01, 'dropout': 0.2, 'input_feature_num': 5, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['weekend', 'rhum', 'sun', 'vis'], 'batch_size': 256}"
location_ft + link_ft,127.82372498171299,521024.67575784895,"{'hidden_dim': 32, 'layer_num': 1, 'lr': 0.01, 'dropout': 0.2, 'input_feature_num': 17, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['lat', 'long', '20223', 'GL1', '1255', '1405', '1404', '1403', 'GL2', '1271', '1253', '1401', 'GL3', '1283', '1258', '1256'], 'batch_size': 256}"
location_ft + weather_ft,147.87661800624076,197443.0763377105,"{'hidden_dim': 32, 'layer_num': 1, 'lr': 0.01, 'dropout': 0.2, 'input_feature_num': 6, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['lat', 'long', 'rhum', 'sun', 'vis'], 'batch_size': 256}"
