Extra_feature_col,RMSE Score,MAPE Score,Best config
None,138.78644669385778,278920.2102380091,"{'hidden_dim': 32, 'layer_num': 1, 'lr': 0.009554713746661607, 'dropout': 0.16711901145697636, 'input_feature_num': 1, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': [], 'batch_size': 256}"
location_ft,147.74939010960287,312007.08143991244,"{'hidden_dim': 32, 'layer_num': 1, 'lr': 0.005773877103867199, 'dropout': 0.13846913895554208, 'input_feature_num': 3, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['lat', 'long'], 'batch_size': 256}"
link_ft,134.47544851862247,60176.14951100424,"{'hidden_dim': 32, 'layer_num': 1, 'lr': 0.006352220078644278, 'dropout': 0.11854252995544401, 'input_feature_num': 15, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['20223', 'GL1', '1255', '1405', '1404', '1403', 'GL2', '1271', '1253', '1401', 'GL3', '1283', '1258', '1256'], 'batch_size': 256}"
weather_ft,155.9307962793014,316502.32671767555,"{'hidden_dim': 32, 'layer_num': 1, 'lr': 0.007526658791583367, 'dropout': 0.18490312344243404, 'input_feature_num': 4, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['rhum', 'sun', 'vis'], 'batch_size': 256}"
location_ft + link_ft,149.30831858083806,107649.48647919644,"{'hidden_dim': 32, 'layer_num': 1, 'lr': 0.009465966285428586, 'dropout': 0.19332441163341207, 'input_feature_num': 17, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['lat', 'long', '20223', 'GL1', '1255', '1405', '1404', '1403', 'GL2', '1271', '1253', '1401', 'GL3', '1283', '1258', '1256'], 'batch_size': 256}"
location_ft + weather_ft,146.9195504965172,513442.5156378386,"{'hidden_dim': 32, 'layer_num': 1, 'lr': 0.007636523999776956, 'dropout': 0.12871237635341098, 'input_feature_num': 6, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['lat', 'long', 'rhum', 'sun', 'vis'], 'batch_size': 256}"
link_ft + weather_ft,134.7046309715884,201221.77610417444,"{'hidden_dim': 32, 'layer_num': 1, 'lr': 0.006101052983506898, 'dropout': 0.10024569861850054, 'input_feature_num': 18, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['20223', 'GL1', '1255', '1405', '1404', '1403', 'GL2', '1271', '1253', '1401', 'GL3', '1283', '1258', '1256', 'rhum', 'sun', 'vis'], 'batch_size': 256}"
location_ft + link_ft + weather_ft,140.06282590931423,148940.14813156083,"{'hidden_dim': 32, 'layer_num': 1, 'lr': 0.009993875330520208, 'dropout': 0.15589021485650273, 'input_feature_num': 20, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['lat', 'long', '20223', 'GL1', '1255', '1405', '1404', '1403', 'GL2', '1271', '1253', '1401', 'GL3', '1283', '1258', '1256', 'rhum', 'sun', 'vis'], 'batch_size': 256}"
