Extra_feature_col,RMSE Score,MAE Score,Best config
None,139.1924944841772,92.7323656292649,"{'hidden_dim': 32, 'layer_num': 2, 'lr': 0.00532463793161698, 'dropout': 0.1257624067453868, 'input_feature_num': 1, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': [], 'batch_size': 256}"
location_ft,136.68278665903236,91.26168596941831,"{'hidden_dim': 32, 'layer_num': 2, 'lr': 0.0074887049813058965, 'dropout': 0.19551361230661263, 'input_feature_num': 3, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['lat', 'long'], 'batch_size': 256}"
link_ft,129.0725627872908,85.88272969953547,"{'hidden_dim': 32, 'layer_num': 2, 'lr': 0.006221900126184568, 'dropout': 0.19368211363919677, 'input_feature_num': 15, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['20223', 'GL1', '1255', '1405', '1404', '1403', 'GL2', '1271', '1253', '1401', 'GL3', '1283', '1258', '1256'], 'batch_size': 256}"
weather_ft,146.66591401239842,98.18684851650772,"{'hidden_dim': 32, 'layer_num': 2, 'lr': 0.006784472624100012, 'dropout': 0.10957876554429849, 'input_feature_num': 4, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['rhum', 'sun', 'vis'], 'batch_size': 256}"
location_ft + link_ft,122.44342498149048,84.13811784725988,"{'hidden_dim': 32, 'layer_num': 2, 'lr': 0.009268276292200407, 'dropout': 0.17196908407342326, 'input_feature_num': 17, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['lat', 'long', '20223', 'GL1', '1255', '1405', '1404', '1403', 'GL2', '1271', '1253', '1401', 'GL3', '1283', '1258', '1256'], 'batch_size': 256}"
location_ft + weather_ft,131.49639863125037,86.94255352466675,"{'hidden_dim': 32, 'layer_num': 2, 'lr': 0.005847827583651346, 'dropout': 0.18985844529901913, 'input_feature_num': 6, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['lat', 'long', 'rhum', 'sun', 'vis'], 'batch_size': 256}"
link_ft + weather_ft,125.54620757908116,84.92583332357069,"{'hidden_dim': 32, 'layer_num': 2, 'lr': 0.008864122393058085, 'dropout': 0.1531621711113605, 'input_feature_num': 18, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['20223', 'GL1', '1255', '1405', '1404', '1403', 'GL2', '1271', '1253', '1401', 'GL3', '1283', '1258', '1256', 'rhum', 'sun', 'vis'], 'batch_size': 256}"
location_ft + link_ft + weather_ft,136.32564287131805,93.65617876832486,"{'hidden_dim': 32, 'layer_num': 2, 'lr': 0.007145854860894142, 'dropout': 0.1540392071346653, 'input_feature_num': 20, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['lat', 'long', '20223', 'GL1', '1255', '1405', '1404', '1403', 'GL2', '1271', '1253', '1401', 'GL3', '1283', '1258', '1256', 'rhum', 'sun', 'vis'], 'batch_size': 256}"
