Extra_feature_col,RMSE Score,MAE Score,Best config
location_ft + link_ft + weather_ft,126.70067018437216,83.53335561789777,"{'input_feature_num': 20, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'lstm_hidden_dim': 32, 'lstm_layer_num': 2, 'lr': 0.0018782128248925588, 'dropout': 0.2531193565364794, 'teacher_forcing': False, 'selected_features': ['lat', 'long', '20223', 'GL1', '1255', '1405', '1404', '1403', 'GL2', '1271', '1253', '1401', 'GL3', '1283', '1258', '1256', 'rhum', 'sun', 'vis'], 'batch_size': 128}"
location_ft + link_ft,127.32127506192566,86.40698321576774,"{'input_feature_num': 17, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'lstm_hidden_dim': 32, 'lstm_layer_num': 2, 'lr': 0.003985821793418703, 'dropout': 0.0924945524568819, 'teacher_forcing': False, 'selected_features': ['lat', 'long', '20223', 'GL1', '1255', '1405', '1404', '1403', 'GL2', '1271', '1253', '1401', 'GL3', '1283', '1258', '1256'], 'batch_size': 128}"
location_ft + weather_ft,130.215583353462,83.84253042832923,"{'input_feature_num': 6, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'lstm_hidden_dim': 32, 'lstm_layer_num': 2, 'lr': 0.00395692308936788, 'dropout': 0.03983782106372906, 'teacher_forcing': False, 'selected_features': ['lat', 'long', 'rhum', 'sun', 'vis'], 'batch_size': 128}"
link_ft,130.50403150316453,89.13397541403076,"{'input_feature_num': 15, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'lstm_hidden_dim': 32, 'lstm_layer_num': 2, 'lr': 0.002963914430071383, 'dropout': 0.01346292718636125, 'teacher_forcing': False, 'selected_features': ['20223', 'GL1', '1255', '1405', '1404', '1403', 'GL2', '1271', '1253', '1401', 'GL3', '1283', '1258', '1256'], 'batch_size': 128}"
None,139.03929268341236,90.57621501454719,"{'input_feature_num': 1, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'lstm_hidden_dim': 32, 'lstm_layer_num': 2, 'lr': 0.0025997748165003517, 'dropout': 0.004987210466969849, 'teacher_forcing': False, 'selected_features': [], 'batch_size': 128}"
weather_ft,144.04132679091225,97.1162162026386,"{'input_feature_num': 4, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'lstm_hidden_dim': 32, 'lstm_layer_num': 2, 'lr': 0.003159164357711978, 'dropout': 0.1483105506281456, 'teacher_forcing': False, 'selected_features': ['rhum', 'sun', 'vis'], 'batch_size': 128}"
location_ft,148.78749452496874,105.24099128311711,"{'input_feature_num': 3, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'lstm_hidden_dim': 32, 'lstm_layer_num': 2, 'lr': 0.0015931183498378951, 'dropout': 0.2699268467070452, 'teacher_forcing': False, 'selected_features': ['lat', 'long'], 'batch_size': 128}"
link_ft + weather_ft,149.72923173408157,100.17719806929189,"{'input_feature_num': 18, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'lstm_hidden_dim': 32, 'lstm_layer_num': 2, 'lr': 0.0013698582491791, 'dropout': 0.2645717513001438, 'teacher_forcing': False, 'selected_features': ['20223', 'GL1', '1255', '1405', '1404', '1403', 'GL2', '1271', '1253', '1401', 'GL3', '1283', '1258', '1256', 'rhum', 'sun', 'vis'], 'batch_size': 128}"
