Extra_feature_col,RMSE Score,MAE Score
location_ft + link_ft + weather_ft,136.21264332953325,95.46634067802631
link_ft + weather_ft,138.6645495417778,95.45606786226507
None,145.16570835939902,100.35055477349749
link_ft,147.33441936395312,98.76089843641536
location_ft + link_ft,148.89645067813615,103.24273312624504
location_ft + weather_ft,153.02790887818531,101.5452912683965
location_ft,159.24876176859803,105.44564839512037
weather_ft,169.43282754242833,109.26652958814645
