Extra_feature_col,RMSE Score,MAE Score,Best config
location_ft + link_ft + weather_ft,133.13056597884653,88.38946780135342,"{'input_feature_num': 20, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'nhid': 32, 'levels': 3, 'num_channels': None, 'kernel_size': 3, 'lr': 0.003394353477916792, 'dropout': 0.10044926633962398, 'selected_features': ['lat', 'long', '20223', 'GL1', '1255', '1405', '1404', '1403', 'GL2', '1271', '1253', '1401', 'GL3', '1283', '1258', '1256', 'rhum', 'sun', 'vis'], 'batch_size': 128}"
location_ft + link_ft,133.40376573949266,91.00593711886573,"{'input_feature_num': 17, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'nhid': 32, 'levels': 3, 'num_channels': None, 'kernel_size': 3, 'lr': 0.0030069287754739176, 'dropout': 0.11929250110349249, 'selected_features': ['lat', 'long', '20223', 'GL1', '1255', '1405', '1404', '1403', 'GL2', '1271', '1253', '1401', 'GL3', '1283', '1258', '1256'], 'batch_size': 128}"
link_ft + weather_ft,138.66011519591333,95.28975061617912,"{'input_feature_num': 18, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'nhid': 32, 'levels': 3, 'num_channels': None, 'kernel_size': 3, 'lr': 0.004043853550378504, 'dropout': 0.10763247060705287, 'selected_features': ['20223', 'GL1', '1255', '1405', '1404', '1403', 'GL2', '1271', '1253', '1401', 'GL3', '1283', '1258', '1256', 'rhum', 'sun', 'vis'], 'batch_size': 128}"
location_ft,147.84092967679794,99.64464076735848,"{'input_feature_num': 3, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'nhid': 32, 'levels': 3, 'num_channels': None, 'kernel_size': 3, 'lr': 0.0015731052379752489, 'dropout': 0.11893163239731966, 'selected_features': ['lat', 'long'], 'batch_size': 128}"
weather_ft,148.61072843628781,101.64641175384037,"{'input_feature_num': 4, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'nhid': 32, 'levels': 3, 'num_channels': None, 'kernel_size': 3, 'lr': 0.004331447815949012, 'dropout': 0.16153078065070753, 'selected_features': ['rhum', 'sun', 'vis'], 'batch_size': 128}"
location_ft + weather_ft,149.74410101339078,100.61583669416636,"{'input_feature_num': 6, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'nhid': 32, 'levels': 3, 'num_channels': None, 'kernel_size': 3, 'lr': 0.003600203554743697, 'dropout': 0.13886851914496703, 'selected_features': ['lat', 'long', 'rhum', 'sun', 'vis'], 'batch_size': 128}"
link_ft,163.00325114261244,110.97124807485618,"{'input_feature_num': 15, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'nhid': 32, 'levels': 3, 'num_channels': None, 'kernel_size': 3, 'lr': 0.0019048695262523878, 'dropout': 0.11357820091539472, 'selected_features': ['20223', 'GL1', '1255', '1405', '1404', '1403', 'GL2', '1271', '1253', '1401', 'GL3', '1283', '1258', '1256'], 'batch_size': 128}"
None,167.46102720024172,113.7101923454247,"{'input_feature_num': 1, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'nhid': 32, 'levels': 3, 'num_channels': None, 'kernel_size': 3, 'lr': 0.001034533736600059, 'dropout': 0.14312882173099392, 'selected_features': [], 'batch_size': 128}"
