id,datetime,value,irain,rain,itemp,temp,iwb,wetb,dewpt,vappr,rhum,msl,iwdsp,wdsp,iwddir,wddir,ww,w,sun,vis,clht,clamt,20223,GL1,1255,1405,1404,1403,GL2,1271,1253,1401,GL3,1283,1258,1256,weekday,weekend,lat,long,holiday,pred
000000001253A,2021-11-29 02:00:00,57.0,2,0.0,0,6.0,0,5.6,5.1,8.8,94.0,1015.6,2,2,2,200,50,52,0.0,20000.0,10,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,51.87488,-8.44783,0,114.12154388427734
000000001253A,2021-11-29 03:00:00,98.0,2,0.0,0,5.8,0,5.5,5.1,8.8,95.0,1015.6,2,1,2,110,51,52,0.0,5000.0,10,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,51.87488,-8.44783,0,69.24776458740234
000000001253A,2021-11-29 04:00:00,117.0,0,0.1,0,5.8,0,5.7,5.6,9.1,98.0,1015.5,2,2,2,190,46,54,0.0,800.0,4,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,51.87488,-8.44783,0,253.3128662109375
000000001253A,2021-11-29 05:00:00,365.0,0,0.2,0,6.0,0,5.9,5.8,9.2,98.0,1015.5,2,3,2,210,50,54,0.0,1200.0,2,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,51.87488,-8.44783,0,432.2856750488281
000000001253A,2021-11-29 06:00:00,1016.0,0,0.3,0,6.3,0,6.2,6.1,9.4,98.0,1015.5,2,4,2,190,51,54,0.0,1100.0,2,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,51.87488,-8.44783,0,1138.9124755859375
000000001253A,2021-11-29 07:00:00,2757.0,0,0.1,0,7.1,0,7.0,6.8,9.9,99.0,1015.5,2,4,2,220,50,54,0.0,1500.0000000000002,2,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,51.87488,-8.44783,0,1984.6600341796875
000000001253A,2021-11-29 08:00:00,3237.0,2,0.0,0,7.7,0,7.6,7.4,10.4,99.0,1016.0,2,4,2,270,51,55,0.0,3000.0000000000005,4,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,51.87488,-8.44783,0,2973.368896484375
000000001253A,2021-11-29 09:00:00,2352.0,2,0.0,0,7.7,0,7.6,7.4,10.4,99.0,1016.6,2,7,2,300,50,54,0.0,10000.0,4,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,51.87488,-8.44783,0,2720.062255859375
000000001253A,2021-11-29 10:00:00,2342.0,2,0.0,0,7.9,0,7.6,7.3,10.2,96.0,1017.3,2,7,2,310,20,52,0.2,12000.000000000002,7,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,51.87488,-8.44783,0,2201.772216796875
000000001253A,2021-11-29 11:00:00,2712.0,0,0.0,0,8.8,0,8.3,7.7,10.5,93.0,1017.5,2,5,2,280,2,11,0.1,15000.0,18,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,51.87488,-8.44783,0,2662.47705078125
000000001253A,2021-11-29 12:00:00,2835.0,0,0.0,0,9.0,0,8.4,7.8,10.5,92.0,1017.6,2,7,2,280,16,54,0.0,20000.0,15,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,51.87488,-8.44783,0,2952.336669921875
000000001253A,2021-11-29 13:00:00,3011.0,0,0.0,0,9.8,0,8.5,7.1,10.1,83.0,1017.4,2,8,2,280,2,11,0.9,25000.0,25,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,51.87488,-8.44783,0,2936.64501953125
000000001253A,2021-11-29 14:00:00,2966.0,0,0.0,0,9.9,0,8.8,7.5,10.4,86.0,1017.4,2,9,2,280,2,11,0.4,25000.0,18,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,51.87488,-8.44783,0,3063.695068359375
000000001253A,2021-11-29 15:00:00,3295.0,0,0.0,0,10.3,0,8.8,7.2,10.1,81.0,1017.6,2,11,2,290,2,11,1.0,25000.0,25,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,51.87488,-8.44783,0,3007.183837890625
000000001253A,2021-11-29 16:00:00,3502.0,0,0.0,0,9.3,0,8.3,7.1,10.1,87.0,1018.1,2,7,2,280,2,11,0.3,25000.0,15,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,51.87488,-8.44783,0,3352.816162109375
000000001253A,2021-11-29 17:00:00,3449.0,0,0.0,0,8.5,0,7.8,6.9,10.0,90.0,1018.6,2,6,2,270,2,11,0.0,25000.0,25,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,51.87488,-8.44783,0,3345.41650390625
000000001253A,2021-11-29 18:00:00,2822.0,0,0.0,0,8.4,0,7.5,6.5,9.6,88.00000000000001,1018.9,2,8,2,300,2,11,0.0,25000.0,20,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,51.87488,-8.44783,0,2805.546875
000000001253A,2021-11-29 19:00:00,1980.0,3,0.0,0,8.0,0,7.4,6.8,9.8,92.0,1019.6,2,6,2,280,2,11,0.0,25000.0,18,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,51.87488,-8.44783,0,1954.5057373046875
000000001253A,2021-11-29 20:00:00,1555.0,3,0.0,0,8.3,0,7.6,6.8,9.9,90.0,1019.9,2,7,2,270,2,11,0.0,30000.0,13,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,51.87488,-8.44783,0,1269.6954345703125
000000001253A,2021-11-29 21:00:00,1085.0,0,0.0,0,7.7,0,7.3,6.9,9.9,94.0,1019.9,2,5,2,230,2,11,0.0,30000.0,18,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,51.87488,-8.44783,0,938.5958251953125
000000001253A,2021-11-29 22:00:00,566.0,0,0.0,0,8.1,0,7.5,6.8,9.9,92.0,1019.7,2,7,2,260,2,11,0.0,30000.0,15,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,51.87488,-8.44783,0,634.1530151367188
000000001253A,2021-11-29 23:00:00,278.0,0,0.0,0,8.2,0,7.6,6.8,10.0,92.0,1019.9,2,8,2,250,2,11,0.0,30000.0,13,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,51.87488,-8.44783,0,328.1200256347656
000000001253A,2021-11-30 00:00:00,180.0,0,0.0,0,8.3,0,7.8,7.2,10.2,93.0,1019.5,2,9,2,240,2,11,0.0,30000.0,13,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1,0,51.87488,-8.44783,0,152.52899169921875
000000001253A,2021-11-30 01:00:00,140.0,0,0.0,0,8.1,0,7.6,7.1,10.0,93.0,1019.5,2,8,2,240,2,11,0.0,30000.0,12,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1,0,51.87488,-8.44783,0,106.97331237792969
000000001253A,2021-11-30 02:00:00,132.0,0,0.0,0,8.5,0,7.9,7.3,10.2,92.0,1019.1,2,6,2,240,2,11,0.0,30000.0,10,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1,0,51.87488,-8.44783,0,111.42205047607422
000000001253A,2021-11-30 03:00:00,96.0,3,0.0,0,8.6,0,8.1,7.6,10.4,93.0,1019.1,2,6,2,240,2,11,0.0,30000.0,8,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1,0,51.87488,-8.44783,0,147.2173614501953
000000001253A,2021-11-30 04:00:00,132.0,3,0.0,0,8.8,0,8.4,7.9,10.7,95.0,1018.5,2,9,2,250,2,11,0.0,30000.0,10,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1,0,51.87488,-8.44783,0,159.1534423828125
000000001253A,2021-11-30 05:00:00,401.0,3,0.0,0,8.6,0,8.4,8.1,10.9,97.0,1018.1,2,8,2,250,10,22,0.0,15000.0,12,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1,0,51.87488,-8.44783,0,426.5146179199219
000000001253A,2021-11-30 06:00:00,1380.0,3,0.0,0,9.0,0,8.8,8.5,11.2,97.0,1018.0,2,8,2,240,2,11,0.0,20000.0,9,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1,0,51.87488,-8.44783,0,1410.546875
000000001253A,2021-11-30 07:00:00,2870.0,0,0.0,0,9.2,0,8.8,8.4,11.0,95.0,1017.7,2,7,2,230,2,11,0.0,20000.0,14,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1,0,51.87488,-8.44783,0,2796.531005859375
